0,"X - O Graf Tryckeri AB","114850","018-15 16 18","Uppsala","http://www.xograf.se","/Uppsala/X___O_Graf_Tryckeri_AB/114850","mailto:tryck@xograf.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Svederusgatan+1%2c+75450%2c+UPPSALA%2c+Sweden"
1,"X - Stroke Motor AB","2848648","0176-22 15 54","Norrtälje","","/Norrt%C3%A4lje/X___Stroke_Motor_AB/2848648","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Spillersboda+2662%2c+76192%2c+NORRT%c3%84LJE%2c+Sweden"
2,"X - Tak&snickeri Teknik AB","2896114","","Järfälla","","/J%C3%A4rf%C3%A4lla/X___Taksnickeri_Teknik_AB/2896114","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Frihetsv%c3%a4gen+49%2c+17753%2c+J%c3%84RF%c3%84LLA%2c+Sweden"
3,"X & Y Nightclub","2141206","033-10 00 66","Borås","http://www.xoy.se","/Bor%C3%A5s/X__Y_Nightclub/2141206","mailto:info@xoy.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kungsgatan+46%2c+50335%2c+BOR%c3%85S%2c+Sweden"
4,"X 7 Import & Export","1914242","0470-297 77","Växjö","","/V%C3%A4xj%C3%B6/X_7_Import__Export/1914242","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Verkstadsgatan+18+L%2c+35246%2c+V%c3%84XJ%c3%96%2c+Sweden"
5,"X 90 Invest AB","367920","08-663 10 50","Stockholm","","/Stockholm/X_90_Invest_AB/367920","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Linn%c3%a9gatan+52%2c+11454%2c+STOCKHOLM%2c+Sweden"
6,"X ANimo Coaching","2037721","","Gävle","","/G%C3%A4vle/X_ANimo_Coaching/2037721","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Ruddammsgatan+7%2c+80320%2c+G%c3%84VLE%2c+Sweden"
7,"X Asset Management AB","2884336","","Järfälla","","/J%C3%A4rf%C3%A4lla/X_Asset_Management_AB/2884336","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Aprilv%c3%a4gen+12%2c+17761%2c+J%c3%84RF%c3%84LLA%2c+Sweden"
8,"X At Work AB","2801484","","Sollentuna","","/Sollentuna/X_At_Work_AB/2801484","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Valkyriev%c3%a4gen+26%2c+19145%2c+SOLLENTUNA%2c+Sweden"
9,"X Baltic Consulting","809679","","Göteborg","","/G%C3%B6teborg/X_Baltic_Consulting/809679","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Stabbegatan+13%2c+41680%2c+G%c3%96TEBORG%2c+Sweden"
10,"X Bemanning HB","2417010","","Stockholm","","/Stockholm/X_Bemanning_HB/2417010","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sveav%c3%a4gen+108%2c+11350%2c+STOCKHOLM%2c+Sweden"
