0,"Ä.t Byggservice KB","2619190","","Storvreta","","/Storvreta/%C3%84t_Byggservice_KB/2619190","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Skogsvallsv%c3%a4gen+7%2c+74335%2c+STORVRETA%2c+Sweden"
1,"Äce Consulting","327024","","Trollhättan","","/Trollh%C3%A4ttan/%C3%84ce_Consulting/327024","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Vesten+385%2c+46191%2c+TROLLH%c3%84TTAN%2c+Sweden"
2,"ÄC-Konsult AB","1003301","016-51 74 00","Eskilstuna","http://www.ac-konsult.se","/Eskilstuna/%C3%84C_Konsult_AB/1003301","mailto:ac-konsult@ac-konsult.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Nygatan+33+A%2c+63220%2c+ESKILSTUNA%2c+Sweden"
3,"Ädel Förvaltnings AB","193047","08-603 07 70","Habo","","/Habo/%C3%84del_F%C3%B6rvaltnings_AB/193047","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Snickaregatan+1%2c+56633%2c+HABO%2c+Sweden"
4,"Ädel Reklam & Events","345476","","Stockholm","","/Stockholm/%C3%84del_Reklam__Events/345476","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Wallingatan+37%2c+11124%2c+STOCKHOLM%2c+Sweden"
5,"Ädel Skiöld, Mariette","1999514","0490-210 78","Västervik","","/V%C3%A4stervik/%C3%84del_Ski%C3%B6ld_Mariette/1999514","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=R%c3%a5dhusgatan+41%2c+59333%2c+V%c3%84STERVIK%2c+Sweden"
6,"Ädel Snickeri & Byggnadsvård i Bohuslän AB","729385","0526-404 20","Strömstad","http://www.adelsnickeri.se","/Str%C3%B6mstad/%C3%84del_Snickeri__Byggnadsv%C3%A5rd_i_Bohusl%C3%A4n_AB/729385","mailto:info@adelsnickeri.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Fj%c3%a4lla+9%2c+45292%2c+STR%c3%96MSTAD%2c+Sweden"
7,"Ädel, Heinz","1870907","060-244 68","Sundsvall","","/Sundsvall/%C3%84del_Heinz/1870907","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Storgatan+52+A%2c+85230%2c+SUNDSVALL%2c+Sweden"
8,"Ädel, Olle","1315792","0294-104 09","Skärplinge","","/Sk%C3%A4rplinge/%C3%84del_Olle/1315792","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sund+287%2c+81961%2c+SK%c3%84RPLINGE%2c+Sweden"
9,"Ädelcompagniet Simonsson AB","1795439","","Färjestaden","","/F%C3%A4rjestaden/%C3%84delcompagniet_Simonsson_AB/1795439","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=G%c3%a4rdesv%c3%a4gen+3%2c+38635%2c+F%c3%84RJESTADEN%2c+Sweden"
10,"Ädelfisk i Jämtland AB","2733505","","Svenstavik","","/Svenstavik/%C3%84delfisk_i_J%C3%A4mtland_AB/2733505","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hoverberg+458%2c+84040%2c+SVENSTAVIK%2c+Sweden"
11,"Ädelfors Consult AB","99481","0383-46 02 26","Holsbybrunn","http://www.adelconsult.com","/Holsbybrunn/%C3%84delfors_Consult_AB/99481","mailto:info@adelfors.com","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Malmv%c3%a4gen+1%2c+57015%2c+HOLSBYBRUNN%2c+Sweden"
12,"Ädelfors Folkhögskola","861724","0383-571 00","Holsbybrunn","http://www.adelfors.nu","/Holsbybrunn/%C3%84delfors_Folkh%C3%B6gskola/861724","mailto:adelfors@adelfors.nu","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kunskapens+V%c3%a4g+3%2c+57015%2c+HOLSBYBRUNN%2c+Sweden"
13,"Ädelforsen","329176","031-27 04 84","Mölndal","","/M%C3%B6lndal/%C3%84delforsen/329176","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Gundefj%c3%a4llsgatan+1%2c+43151%2c+M%c3%96LNDAL%2c+Sweden"
14,"Ädel-Frakt AB","803145","","Målsryd","","/M%C3%A5lsryd/%C3%84del_Frakt_AB/803145","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sl%c3%a4tthult+Dalhem%2c+51695%2c+M%c3%85LSRYD%2c+Sweden"
