0, "Kjell, Johan Hilmer Alexander", "817267", "", "Nossebro", "", "/Nossebro/Kjell_Johan_Hilmer_Alexander/817267", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Fr%c3%a4mmestad+Fyrkullen+203%2c+46598%2c+NOSSEBRO%2c+Sweden"
1, "Kjell, Marilyn", "2226976", "036-30 21 35", "Jönköping", "", "/J%C3%B6nk%C3%B6ping/Kjell_Marilyn/2226976", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kungsgatan+6+B%2c+55318%2c+J%c3%96NK%c3%96PING%2c+Sweden"
2, "Kjell, Michael", "2659092", "", "Åsa", "", "/%C3%85sa/Kjell_Michael/2659092", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Bollv%c3%a4gen+61%2c+43954%2c+%c3%85SA%2c+Sweden"
3, "Kjell, Ylva Maria", "785657", "08-754 23 23", "Sollentuna", "", "/Sollentuna/Kjell_Ylva_Maria/785657", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Malungsv%c3%a4gen+255%2c+19271%2c+SOLLENTUNA%2c+Sweden"
4, "Kjell. G. Skärgårdservice", "290780", "0121-501 25", "Sankt anna", "", "/Sankt_anna/Kjell_G_Sk%C3%A4rg%C3%A5rdservice/290780", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=L%c3%a4rarbostaden+1%2c+61498%2c+SANKT+ANNA%2c+Sweden"
5, "Kjell. M International", "2399433", "", "Linköping", "", "/Link%C3%B6ping/Kjell_M_International/2399433", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Jungfrubergsv%c3%a4gen+6%2c+58931%2c+LINK%c3%96PING%2c+Sweden"
6, "Kjell:s Bygg", "247135", "0923-540 31", "Kalix", "", "/Kalix/Kjells_Bygg/247135", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kamlunge+682%2c+95293%2c+KALIX%2c+Sweden"
7, "Kjell:s el i Stenungsund AB", "694419", "", "Ucklum", "http://www.pcaesar.se/kjellsel", "/Ucklum/Kjells_el_i_Stenungsund_AB/694419", "mailto:kjellsel@ucklum.nu", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=H%c3%a5lkek%c3%a4rr+201%2c+44494%2c+UCKLUM%2c+Sweden"
8, "Kjell:s Grävtjänst Redinge Lillgård", "1340149", "013-554 65", "Linköping", "", "/Link%C3%B6ping/Kjells_Gr%C3%A4vtj%C3%A4nst_Redinge_Lillg%C3%A5rd/1340149", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Redinge+Lillg%c3%a5rd+2%2c+58595%2c+LINK%c3%96PING%2c+Sweden"
9, "Kjell´s Bowling & Mc-Service AB", "396751", "0140-31 19 82", "Tranås", "http://www.hotbowling.se", "/Tran%C3%A5s/Kjells_Bowling__Mc_Service_AB/396751", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Tingsv%c3%a4gen+3%2c+57335%2c+TRAN%c3%85S%2c+Sweden"
10, "Kjell´s Ventilation AB", "1890216", "042-22 20 47", "Gantofta", "", "/Gantofta/Kjells_Ventilation_AB/1890216", "mailto:kjell.kjellsvent@telia.com", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Fajansgatan+15%2c+25373%2c+GANTOFTA%2c+Sweden"
11, "Kjell1 & Bolas Måltider", "147404", "054-21 08 40", "Karlstad", "http://kjellobolas.se", "/Karlstad/Kjell1__Bolas_M%C3%A5ltider/147404", "mailto:info@kjellobolas.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Treffenbergsv%c3%a4gen+20%2c+65229%2c+KARLSTAD%2c+Sweden"
12, "Kjell-Åke Åkesson M F:a Lösvirkeshus", "877194", "033-10 26 37", "Borås", "http://www.losvirkeshus-boras.boras.nrespons.se", "/Bor%C3%A5s/Kjell_%C3%85ke_%C3%85kesson_M_Fa_L%C3%B6svirkeshus/877194", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=V%c3%a4stermalmsgatan+9%2c+50466%2c+BOR%c3%85S%2c+Sweden"
13, "Kjell-Åke Holmgren Konsult AB", "2996166", "040-42 26 37", "Vellinge", "", "/Vellinge/Kjell_%C3%85ke_Holmgren_Konsult_AB/2996166", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=R%c3%b6dhakegatan+9%2c+23538%2c+VELLINGE%2c+Sweden"
14, "Kjell-Åke Johansson Byggnadsritningar", "942310", "0515-71 18 68", "Falköping", "", "/Falk%C3%B6ping/Kjell_%C3%85ke_Johansson_Byggnadsritningar/942310", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Linn%c3%a9gatan+29%2c+52131%2c+FALK%c3%96PING%2c+Sweden"
15, "Kjell-Åke Johanssons Trädgårdsmästeri", "115001", "042-34 94 55", "Höganäs", "", "/H%C3%B6gan%C3%A4s/Kjell_%C3%85ke_Johanssons_Tr%C3%A4dg%C3%A5rdsm%C3%A4steri/115001", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Nyg%c3%a5rdav%c3%a4gen+39%2c+26391%2c+H%c3%96GAN%c3%84S%2c+Sweden"
16, "Kjell-Åke Larssons Åkeri", "961222", "0570-46 40 66", "Glava", "", "/Glava/Kjell_%C3%85ke_Larssons_%C3%85keri/961222", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=S%c3%b6lje+Bruket%2c+67020%2c+GLAVA%2c+Sweden"
17, "Kjell-Åke Mattsson Entreprenad", "285876", "", "Järfälla", "", "/J%C3%A4rf%C3%A4lla/Kjell_%C3%85ke_Mattsson_Entreprenad/285876", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Dalg%c3%a5ngen+13+A%2c+17760%2c+J%c3%84RF%c3%84LLA%2c+Sweden"
18, "Kjell-Åke Nilssons Skogsavverkning", "957747", "0563-304 67", "Ekshärad", "", "/Eksh%C3%A4rad/Kjell_%C3%85ke_Nilssons_Skogsavverkning/957747", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Mossberg+T%c3%b6nnmanheden+4%2c+68361%2c+EKSH%c3%84RAD%2c+Sweden"
19, "Kjell-Åke Salomonssons Åkeri AB", "120665", "", "Kristianstad", "", "/Kristianstad/Kjell_%C3%85ke_Salomonssons_%C3%85keri_AB/120665", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Norra+V%c3%a4gen+13%2c+29162%2c+KRISTIANSTAD%2c+Sweden"
20, "Kjell-Åke Sandén Maskinstjänst", "976477", "0515-340 75", "Falköping", "", "/Falk%C3%B6ping/Kjell_%C3%85ke_Sanden_Maskinstj%C3%A4nst/976477", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Luttra+Lilleg%c3%a5rden+1%2c+52193%2c+FALK%c3%96PING%2c+Sweden"
21, "Kjell-Åke Tecnik AB", "1776822", "035-21 80 60", "Halmstad", "", "/Halmstad/Kjell_%C3%85ke_Tecnik_AB/1776822", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Furuviksringen+12%2c+30244%2c+HALMSTAD%2c+Sweden"
22, "Kjell-Åke Thelins Åkeri AB", "296141", "0526-214 26", "Strömstad", "", "/Str%C3%B6mstad/Kjell_%C3%85ke_Thelins_%C3%85keri_AB/296141", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Gr%c3%a5l%c3%b6s+9%2c+45294%2c+STR%c3%96MSTAD%2c+Sweden"
23, "Kjell-Åkes Beg Bilar", "291114", "0325-62 51 42", "Sexdrega", "", "/Sexdrega/Kjell_%C3%85kes_Beg_Bilar/291114", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Buttorp+Ringslyckan%2c+51291%2c+SEXDREGA%2c+Sweden"
