0, "Z", "2678769", "0340-921 00", "Varberg", "", "/Varberg/Z/2678769", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kungsgatan+3%2c+43245%2c+VARBERG%2c+Sweden"
1, "Z - Bud", "437979", "0640-302 75", "Offerdal", "", "/Offerdal/Z___Bud/437979", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Ede+1177%2c+83051%2c+OFFERDAL%2c+Sweden"
2, "Z - City AB", "2426755", "", "Sollentuna", "", "/Sollentuna/Z___City_AB/2426755", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kaveldunsgr%c3%a4nd+47%2c+19267%2c+SOLLENTUNA%2c+Sweden"
3, "Z - Entreprenad", "997500", "", "Hackås", "", "/Hack%C3%A5s/Z___Entreprenad/997500", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=G%c3%a4rde+723%2c+83023%2c+HACK%c3%85S%2c+Sweden"
4, "Z - Fotostudio", "2239150", "", "Saltsjöbaden", "http://www.z-fotostudio.com", "/Saltsj%C3%B6baden/Z___Fotostudio/2239150", "mailto:z.fotostudio@telia.com", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Box+122%2c+13322%2c+SALTSJ%c3%96BADEN%2c+Sweden"
5, "Z - Medicinkonsult", "193029", "013-12 22 72", "Linköping", "", "/Link%C3%B6ping/Z___Medicinkonsult/193029", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Fridsbergsgatan+6%2c+58247%2c+LINK%c3%96PING%2c+Sweden"
6, "Z - Mur & Fasad", "642351", "063-866 83", "Tandsbyn", "", "/Tandsbyn/Z___Mur__Fasad/642351", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Svarvarv%c3%a4gen+10%2c+83021%2c+TANDSBYN%2c+Sweden"
7, "Z - Publishing", "1076090", "0583-105 00", "Askersund", "", "/Askersund/Z___Publishing/1076090", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Odonv%c3%a4gen+4%2c+69634%2c+ASKERSUND%2c+Sweden"
8, "Z - Små Fix", "1934059", "", "Åby", "", "/%C3%85by/Z___Sm%C3%A5_Fix/1934059", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=%c3%84ppelv%c3%a4gen+5%2c+61690%2c+%c3%85BY%2c+Sweden"
9, "Z & C Stockholm Städ & Service AB", "2011302", "", "Tumba", "", "/Tumba/Z__C_Stockholm_St%C3%A4d__Service_AB/2011302", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Passv%c3%a4gen+3%2c+14753%2c+TUMBA%2c+Sweden"
10, "Z & D Import & Export", "311070", "08-754 12 96", "Sollentuna", "", "/Sollentuna/Z__D_Import__Export/311070", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Porsv%c3%a4gen+364%2c+19248%2c+SOLLENTUNA%2c+Sweden"
11, "Z & J Belysning HB", "2701854", "08-122 044 11", "Södertälje", "", "/S%C3%B6dert%C3%A4lje/Z__J_Belysning_HB/2701854", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Wedav%c3%a4gen+4+B%2c+15242%2c+S%c3%96DERT%c3%84LJE%2c+Sweden"
12, "Z & K Förvaltning AB", "2608021", "", "Gustavsberg", "", "/Gustavsberg/Z__K_F%C3%B6rvaltning_AB/2608021", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=%c3%96stra+R%c3%a4kn%c3%a4sv%c3%a4gen+8%2c+13438%2c+GUSTAVSBERG%2c+Sweden"
13, "Z & R Agentur HB", "2422280", "", "Onsala", "", "/Onsala/Z__R_Agentur_HB/2422280", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Norra+Hagenv%c3%a4gen+27%2c+43991%2c+ONSALA%2c+Sweden"
14, "Z & R Städ", "2257492", "", "Järfälla", "", "/J%C3%A4rf%C3%A4lla/Z__R_St%C3%A4d/2257492", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Svetsarv%c3%a4gen+5%2c+17673%2c+J%c3%84RF%c3%84LLA%2c+Sweden"
15, "Z & V Arikan", "364342", "08-640 96 00", "Stockholm", "", "/Stockholm/Z__V_Arikan/364342", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=G%c3%b6tgatan+64%2c+11826%2c+STOCKHOLM%2c+Sweden"
16, "Z & Z Production AB", "2902432", "", "Stockholm", "", "/Stockholm/Z__Z_Production_AB/2902432", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Svartmangatan+18%2c+11129%2c+STOCKHOLM%2c+Sweden"
17, "Z A Bilservice AB", "2892722", "016-13 13 13", "Eskilstuna", "", "/Eskilstuna/Z_A_Bilservice_AB/2892722", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Fraktgatan+4%2c+63346%2c+ESKILSTUNA%2c+Sweden"
18, "Z A Trans och Restaurang AB", "207566", "", "Hägersten", "", "/H%C3%A4gersten/Z_A_Trans_och_Restaurang_AB/207566", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Telefonv%c3%a4gen+25%2c+12637%2c+H%c3%84GERSTEN%2c+Sweden"
19, "Z Ahl Design AB", "475521", "08-710 33 68", "Stockholm", "", "/Stockholm/Z_Ahl_Design_AB/475521", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Majorsgatan+6%2c+11447%2c+STOCKHOLM%2c+Sweden"
20, "Z", "2678769", "0340-921 00", "Varberg", "", "/Varberg/Z/2678769", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kungsgatan+3%2c+43245%2c+VARBERG%2c+Sweden"
21, "Z - Bud", "437979", "0640-302 75", "Offerdal", "", "/Offerdal/Z___Bud/437979", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Ede+1177%2c+83051%2c+OFFERDAL%2c+Sweden"
22, "Z - City AB", "2426755", "", "Sollentuna", "", "/Sollentuna/Z___City_AB/2426755", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kaveldunsgr%c3%a4nd+47%2c+19267%2c+SOLLENTUNA%2c+Sweden"
23, "Z - Entreprenad", "997500", "", "Hackås", "", "/Hack%C3%A5s/Z___Entreprenad/997500", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=G%c3%a4rde+723%2c+83023%2c+HACK%c3%85S%2c+Sweden"
24, "Z - Fotostudio", "2239150", "", "Saltsjöbaden", "http://www.z-fotostudio.com", "/Saltsj%C3%B6baden/Z___Fotostudio/2239150", "mailto:z.fotostudio@telia.com", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Box+122%2c+13322%2c+SALTSJ%c3%96BADEN%2c+Sweden"
25, "Z - Medicinkonsult", "193029", "013-12 22 72", "Linköping", "", "/Link%C3%B6ping/Z___Medicinkonsult/193029", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Fridsbergsgatan+6%2c+58247%2c+LINK%c3%96PING%2c+Sweden"
26, "Z - Mur & Fasad", "642351", "063-866 83", "Tandsbyn", "", "/Tandsbyn/Z___Mur__Fasad/642351", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Svarvarv%c3%a4gen+10%2c+83021%2c+TANDSBYN%2c+Sweden"
27, "Z - Publishing", "1076090", "0583-105 00", "Askersund", "", "/Askersund/Z___Publishing/1076090", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Odonv%c3%a4gen+4%2c+69634%2c+ASKERSUND%2c+Sweden"
28, "Z - Små Fix", "1934059", "", "Åby", "", "/%C3%85by/Z___Sm%C3%A5_Fix/1934059", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=%c3%84ppelv%c3%a4gen+5%2c+61690%2c+%c3%85BY%2c+Sweden"
