0,"Arbetsmarknadsservice Strömgren AB","214464","042-13 18 15","Helsingborg","","/Helsingborg/Arbetsmarknadsservice_Str%C3%B6mgren_AB/214464","mailto:arbetsmarknadsservice@telia.com","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hantverkaregatan+1%2c+25226%2c+HELSINGBORG%2c+Sweden"
1,"Arbetsmarknadsutbildningar i Väst AB","2707103","","Borås","","/Bor%C3%A5s/Arbetsmarknadsutbildningar_i_V%C3%A4st_AB/2707103","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=B%c3%a4ckeskogsgatan+2%2c+50468%2c+BOR%c3%85S%2c+Sweden"
2,"Arbetsmarknadsverket, Arbetsförmedling och Internservice","619556","019-601 50 00","Örebro","","/%C3%96rebro/Arbetsmarknadsverket_Arbetsf%C3%B6rmedling_och_Internservice/619556","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Olaigatan+4%2c+70361%2c+%c3%96REBRO%2c+Sweden"
3,"Arbetsmarknadsverket, Arbetsförmedling Teknik","1016145","042-18 85 00","Helsingborg","http://www.arbetsformedlingen.se","/Helsingborg/Arbetsmarknadsverket_Arbetsf%C3%B6rmedling_Teknik/1016145","mailto:helsingborg-teknik@arbetsformedlingen.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=S%c3%b6dergatan+39%2c+25225%2c+HELSINGBORG%2c+Sweden"
4,"Arbetsmarknadsverket, Arbetsförmedling Umeå","640409","090-15 15 00","Umeå","","/Ume%C3%A5/Arbetsmarknadsverket_Arbetsf%C3%B6rmedling_Ume%C3%A5/640409","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Nygatan+25%2c+90329%2c+UME%c3%85%2c+Sweden"
5,"Arbetsmiljö & Byggsäkerhet Skåne","771983","0413-183 77","Torsby","","/Torsby/Arbetsmilj%C3%B6__Byggs%C3%A4kerhet_Sk%C3%A5ne/771983","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kyrkon%c3%a4s+43%2c+68594%2c+TORSBY%2c+Sweden"
6,"Arbetsmiljö & Ledarskap i Sydöstra Sverige Ekono","1008174","","Karlskrona","","/Karlskrona/Arbetsmilj%C3%B6__Ledarskap_i_Syd%C3%B6stra_Sverige_Ekono/1008174","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Ronnebygatan+28%2c+37133%2c+KARLSKRONA%2c+Sweden"
7,"Arbetsmiljö & Omvårdnad Kristina Wennlund Anders","588675","08-662 91 95","Stockholm","","/Stockholm/Arbetsmilj%C3%B6__Omv%C3%A5rdnad_Kristina_Wennlund_Anders/588675","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Artillerigatan+50%2c+11445%2c+STOCKHOLM%2c+Sweden"
8,"Arbetsmiljö & Säkerhet Consulting Norrland AB","2814113","0644-105 88","Hammerdal","","/Hammerdal/Arbetsmilj%C3%B6__S%C3%A4kerhet_Consulting_Norrland_AB/2814113","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=%c3%85sen+432%2c+83070%2c+HAMMERDAL%2c+Sweden"
9,"Arbetsmiljö och Hälsa på Öckerö","117152","","Öckerö","","/%C3%96cker%C3%B6/Arbetsmilj%C3%B6_och_H%C3%A4lsa_p%C3%A5_%C3%96cker%C3%B6/117152","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Norg%c3%a5rdsv%c3%a4gen+67%2c+47531%2c+%c3%96CKER%c3%96%2c+Sweden"
10,"Arbetsmiljö Service AB","626158","0241-214 25","Djurås","http://www.arbetsmiljoservice.se","/Djur%C3%A5s/Arbetsmilj%C3%B6_Service_AB/626158","mailto:info@arbetsmiljoservice.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Centrumv%c3%a4gen+1%2c+78561%2c+DJUR%c3%85S%2c+Sweden"
11,"Arbetsmiljö Service AB","901963","0281-711 65","Vansbro","http://www.arbetsmiljoservice.se","/Vansbro/Arbetsmilj%C3%B6_Service_AB/901963","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Bromans+v%c3%a4g+8%2c+78050%2c+VANSBRO%2c+Sweden"
12,"Arbetsmiljöbyrån Västergötland","389038","0501-181 94","Mariestad","http://www.ambwest.se","/Mariestad/Arbetsmilj%C3%B6byr%C3%A5n_V%C3%A4sterg%C3%B6tland/389038","mailto:info@ambwest.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=John+Hedins+V%c3%a4g+9%2c+54243%2c+MARIESTAD%2c+Sweden"
13,"Arbetsmiljöcentralen i Markaryd AB","1064329","","Markaryd","","/Markaryd/Arbetsmilj%C3%B6centralen_i_Markaryd_AB/1064329","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kompassv%c3%a4gen+16%2c+28534%2c+MARKARYD%2c+Sweden"
14,"Arbetsmiljöenheten","1231957","044-13 55 35","Kristianstad","","/Kristianstad/Arbetsmilj%C3%B6enheten/1231957","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Bj%c3%b6rkhemsv%c3%a4gen+15+C%2c+29154%2c+KRISTIANSTAD%2c+Sweden"
15,"Arbetsmiljöenheten (AME), Landstingets","1142178","0381-373 10","Eksjö","","/Eksj%C3%B6/Arbetsmilj%C3%B6enheten_AME_Landstingets/1142178","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=H%c3%b6glandssjukhuset+Eksj%c3%b6-n%c3%a4ssj%c3%b6%2c+57581%2c+EKSJ%c3%96%2c+Sweden"
16,"Arbetsmiljöenheten (AME), Landstingets","1276217","036-32 28 44","Jönköping","","/J%C3%B6nk%C3%B6ping/Arbetsmilj%C3%B6enheten_AME_Landstingets/1276217","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sjukhusgatan%2c+55305%2c+J%c3%96NK%c3%96PING%2c+Sweden"
17,"Arbetsmiljöenheten (AME), Landstingets","1713370","0370-69 78 90","Värnamo","","/V%C3%A4rnamo/Arbetsmilj%C3%B6enheten_AME_Landstingets/1713370","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Doktorsgatan%2c+33152%2c+V%c3%84RNAMO%2c+Sweden"
18,"Arbetsmiljögruppen i Fagersta","873878","010-707 73 30","Fagersta","http://www.amgsvealand.se","/Fagersta/Arbetsmilj%C3%B6gruppen_i_Fagersta/873878","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Florav%c3%a4gen+4%2c+73742%2c+FAGERSTA%2c+Sweden"
19,"Arbetsmiljögruppen i Sala","718458","010-707 73 30","Sala","http://www.amgsvealand.se","/Sala/Arbetsmilj%C3%B6gruppen_i_Sala/718458","mailto:sala@amgsvealand.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=R%c3%a5dhusgatan+4+B%2c+73330%2c+SALA%2c+Sweden"
