0, "Industrireklam i Halmstad AB", "873352", "035-15 61 70", "Halmstad", "http://www.industrireklam.se", "/Halmstad/Industrireklam_i_Halmstad_AB/873352", "mailto:info@industrireklam.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Skolgatan+8%2c+30232%2c+HALMSTAD%2c+Sweden"
1, "Industrireklam Reklamatelje Lennart Hammar AB", "461259", "031-44 80 90", "Skärhamn", "", "/Sk%C3%A4rhamn/Industrireklam_Reklamatelje_Lennart_Hammar_AB/461259", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Duvedalen+20%2c+47195%2c+SK%c3%84RHAMN%2c+Sweden"
2, "Industrirenovering Furulunds Bygg AB", "2758416", "046-73 02 60", "Karlshamn", "", "/Karlshamn/Industrirenovering_Furulunds_Bygg_AB/2758416", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Drottninggatan+100%2c+37438%2c+KARLSHAMN%2c+Sweden"
3, "Industrirenoveringar AB", "171454", "046-73 02 60", "Kävlinge", "http://www.industrirenovering.se", "/K%C3%A4vlinge/Industrirenoveringar_AB/171454", "mailto:industrirenoveringar@telia.com", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Mineralgatan+10%2c+24432%2c+K%c3%84VLINGE%2c+Sweden"
4, "Industrireparationer AB", "1081951", "0555-211 44", "Grums", "", "/Grums/Industrireparationer_AB/1081951", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=L%c3%a5ngviken+22%2c+66491%2c+GRUMS%2c+Sweden"
5, "Industriresurs AB", "297686", "0523-711 56", "Kungshamn", "http://www.industriresurs.se", "/Kungshamn/Industriresurs_AB/297686", "mailto:b.m@industriresurs.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Varvsgatan+24%2c+45632%2c+KUNGSHAMN%2c+Sweden"
6, "Industriresurs i Väst", "326223", "0510-133 54", "Lidköping", "", "/Lidk%C3%B6ping/Industriresurs_i_V%C3%A4st/326223", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=J%c3%a4leviken+Ros%c3%a5sen%2c+53199%2c+LIDK%c3%96PING%2c+Sweden"
7, "Industririvningar", "1644198", "026-29 20 10", "Årsunda", "", "/%C3%85rsunda/Industririvningar/1644198", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=F%c3%a4rnebov%c3%a4gen+138%2c+81022%2c+%c3%85RSUNDA%2c+Sweden"
8, "Industriromantik AB", "601027", "031-711 70 40", "Göteborg", "http://www.industriromantik.se", "/G%C3%B6teborg/Industriromantik_AB/601027", "mailto:johan.ruben@industriromantik.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kyrkogatan+44%2c+41115%2c+G%c3%96TEBORG%2c+Sweden"
9, "Industrirör Hallgren o Hasth", "568524", "0270-606 20", "Söderhamn", "", "/S%C3%B6derhamn/Industrir%C3%B6r_Hallgren_o_Hasth/568524", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sven+Stures+V%c3%a4g%2c+82650%2c+S%c3%96DERHAMN%2c+Sweden"
10, "Industrirör i Liden AB", "726133", "060-17 33 40", "Sundsvall", "", "/Sundsvall/Industrir%C3%B6r_i_Liden_AB/726133", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=%c3%96stermov%c3%a4gen+35%2c+85462%2c+SUNDSVALL%2c+Sweden"
11, "Industrirör Norr AB", "1834853", "", "Skellefteå", "", "/Skellefte%C3%A5/Industrir%C3%B6r_Norr_AB/1834853", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=%c3%96stra+Hjoggb%c3%b6le+15%2c+93194%2c+SKELLEFTE%c3%85%2c+Sweden"
12, "Industrirör Orust AB", "837380", "0304-107 02", "Varekil", "", "/Varekil/Industrir%C3%B6r_Orust_AB/837380", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Tegenv%c3%a4gen+6%2c+47295%2c+VAREKIL%2c+Sweden"
13, "Industrirör Väst AB", "929145", "040-29 40 80", "Falkenberg", "http://www.irvab.se", "/Falkenberg/Industrir%C3%B6r_V%C3%A4st_AB/929145", "mailto:info@irvab.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=R%c3%b6rv%c3%a4gen+1%2c+31150%2c+FALKENBERG%2c+Sweden"
14, "Industrirum i Falköping AB", "1739160", "0515-77 65 74", "Falköping", "", "/Falk%C3%B6ping/Industrirum_i_Falk%C3%B6ping_AB/1739160", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sidvallsgatan+11%2c+52136%2c+FALK%c3%96PING%2c+Sweden"
15, "Industrisanering i Norr AB", "2996197", "", "Luleå", "", "/Lule%C3%A5/Industrisanering_i_Norr_AB/2996197", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hagaviksgatan+26%2c+97441%2c+LULE%c3%85%2c+Sweden"
16, "Industrisanering i Södermanland AB", "267623", "016-34 70 76", "Kvicksund", "http://www.industrisanering.se", "/Kvicksund/Industrisanering_i_S%C3%B6dermanland_AB/267623", "mailto:industrisanering@telia.com", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Tumbov%c3%a4gen+30%2c+63531%2c+KVICKSUND%2c+Sweden"
17, "Industrisanering Skaraborg", "2058397", "0501-102 23", "Moholm", "", "/Moholm/Industrisanering_Skaraborg/2058397", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=F%c3%a4grev%c3%a4gen+2%2c+54941%2c+MOHOLM%2c+Sweden"
18, "Industriservice", "437684", "019-45 22 50", "Odensbacken", "", "/Odensbacken/Industriservice/437684", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Askersv%c3%a4gen+8%2c+71594%2c+ODENSBACKEN%2c+Sweden"
19, "Industriservice & Underhåll", "937827", "033-27 19 25", "Dalsjöfors", "", "/Dalsj%C3%B6fors/Industriservice__Underh%C3%A5ll/937827", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Stationsv%c3%a4gen+2%2c+51631%2c+DALSJ%c3%96FORS%2c+Sweden"
20, "Industriservice Be-Ni i Osby AB", "867063", "0479-319 45", "Osby", "http://www.industriserviceab.nu", "/Osby/Industriservice_Be_Ni_i_Osby_AB/867063", "mailto:info@industriserviceab.nu", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Gerfasts+V%c3%a4g%2c+28350%2c+OSBY%2c+Sweden"
21, "Industriservice Eurocity Sweden", "265497", "0922-303 85", "Haparanda", "", "/Haparanda/Industriservice_Eurocity_Sweden/265497", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Tullgatan+8%2c+95331%2c+HAPARANDA%2c+Sweden"
22, "Industriservice Förvaltning i Vaggeryd AB", "1419484", "0393-365 50", "Vaggeryd", "", "/Vaggeryd/Industriservice_F%C3%B6rvaltning_i_Vaggeryd_AB/1419484", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hokv%c3%a4gen+6%2c+56732%2c+VAGGERYD%2c+Sweden"
23, "Industriservice i Ask AB", "460841", "", "Röstånga", "", "/R%C3%B6st%C3%A5nga/Industriservice_i_Ask_AB/460841", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Ask+719%2c+26868%2c+R%c3%96ST%c3%85NGA%2c+Sweden"
24, "Industriservice i Braås AB", "870709", "0474-310 66", "Braås", "http://www.industri-service.se", "/Bra%C3%A5s/Industriservice_i_Bra%C3%A5s_AB/870709", "mailto:info@industriservice.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kvarnag%c3%a5rden%2c+36042%2c+BRA%c3%85S%2c+Sweden"
25, "Industriservice i Falkenberg", "661446", "0346-71 71 10", "Falkenberg", "", "/Falkenberg/Industriservice_i_Falkenberg/661446", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Falk%c3%a5sv%c3%a4gen+2%2c+31132%2c+FALKENBERG%2c+Sweden"
26, "Industriservice i Kristinehamn", "162323", "0550-827 27", "Kristinehamn", "", "/Kristinehamn/Industriservice_i_Kristinehamn/162323", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Box+108%2c+68123%2c+KRISTINEHAMN%2c+Sweden"
27, "Industriservice i Näsum AB", "435668", "0456-249 13", "Näsum", "http://www.industri-service.eu", "/N%C3%A4sum/Industriservice_i_N%C3%A4sum_AB/435668", "mailto:jens@industri-service.eu", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Gr%c3%b6ne+V%c3%a4g+40%2c+29594%2c+N%c3%84SUM%2c+Sweden"
28, "Industriservice i Sjötorp AB", "564942", "", "Sjötorp", "", "/Sj%C3%B6torp/Industriservice_i_Sj%C3%B6torp_AB/564942", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Alviksv%c3%a4gen+8%2c+54066%2c+SJ%c3%96TORP%2c+Sweden"
29, "Industriservice i Vaggeryd AB", "915314", "0393-100 00", "Vaggeryd", "http://www.industriservice.se", "/Vaggeryd/Industriservice_i_Vaggeryd_AB/915314", "mailto:ulric@industriservice.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hokv%c3%a4gen+6%2c+56732%2c+VAGGERYD%2c+Sweden"
30, "Industriservice i Virserum AB", "2990462", "", "Virserum", "", "/Virserum/Industriservice_i_Virserum_AB/2990462", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Tvetav%c3%a4gen+38%2c+57080%2c+VIRSERUM%2c+Sweden"
