0,"Y & A Service AB","815913","08-611 51 89","Lidingö","","/Liding%C3%B6/Y__A_Service_AB/815913","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Stockholmsv%c3%a4gen+53%2c+18132%2c+LIDING%c3%96%2c+Sweden"
1,"Y & B Lilja","438924","","Viken","","/Viken/Y__B_Lilja/438924","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Selmas+Guda+3%2c+26361%2c+VIKEN%2c+Sweden"
2,"Y & C Äldreservice AB","2663761","","Norrtälje","","/Norrt%C3%A4lje/Y__C_%C3%84ldreservice_AB/2663761","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=B%c3%a4ltartorpsgatan+3+B%2c+76132%2c+NORRT%c3%84LJE%2c+Sweden"
3,"Y & C Design Innovation","1209674","031-253 03 39","Göteborg","","/G%C3%B6teborg/Y__C_Design_Innovation/1209674","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Trappg%c3%a5ngen+5%2c+41262%2c+G%c3%96TEBORG%2c+Sweden"
4,"Y & D Sundman AB","838497","08-400 551 80","Bromma","","/Bromma/Y__D_Sundman_AB/838497","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Grafitgr%c3%a4nd+2%2c+16860%2c+BROMMA%2c+Sweden"
5,"Y & M Fastigheter AB","1912994","054-54 79 80","Karlstad","","/Karlstad/Y__M_Fastigheter_AB/1912994","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Frykmans+V%c3%a4g+6%2c+65346%2c+KARLSTAD%2c+Sweden"
6,"Y & M Förvaltning AB","1534054","","Sundbyberg","","/Sundbyberg/Y__M_F%C3%B6rvaltning_AB/1534054","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sturegatan+35%2c+17231%2c+SUNDBYBERG%2c+Sweden"
7,"Y & P Beck Consulting AB","2187591","0300-299 55","Onsala","","/Onsala/Y__P_Beck_Consulting_AB/2187591","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Ebbag%c3%a4rdes+V%c3%a4g+15%2c+43933%2c+ONSALA%2c+Sweden"
8,"Y & Ps - Byggdesign","1859305","","Kungsängen","","/Kungs%C3%A4ngen/Y__Ps___Byggdesign/1859305","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sven+Beckmans+V%c3%a4g+46%2c+19634%2c+KUNGS%c3%84NGEN%2c+Sweden"
9,"Y & R Bygg AB","1967893","","Jordbro","","/Jordbro/Y__R_Bygg_AB/1967893","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Blockstensv%c3%a4gen+86%2c+13765%2c+JORDBRO%2c+Sweden"
10,"Y & Ro KB","2742486","08-83 73 12","Solna","","/Solna/Y__Ro_KB/2742486","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Storgatan+15%2c+17163%2c+SOLNA%2c+Sweden"
11,"Y & S SCREENTRYCK AB","107332","026-14 08 15","Forsbacka","","/Forsbacka/Y__S_SCREENTRYCK_AB/107332","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Storgatan+9%2c+81841%2c+FORSBACKA%2c+Sweden"
12,"Y A Carlsson Snabbservice AB","1002488","035-12 19 19","Halmstad","","/Halmstad/Y_A_Carlsson_Snabbservice_AB/1002488","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Fr%c3%a4saregatan+1%2c+30262%2c+HALMSTAD%2c+Sweden"
13,"Y A Handarbeten","128940","0510-915 50","Järpås","","/J%C3%A4rp%C3%A5s/Y_A_Handarbeten/128940","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Victoriagatan+6%2c+53175%2c+J%c3%84RP%c3%85S%2c+Sweden"
14,"Y B Bygg","305278","0303-22 14 41","Kärna","","/K%C3%A4rna/Y_B_Bygg/305278","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Ranneberg+130%2c+44272%2c+K%c3%84RNA%2c+Sweden"
15,"Y B Miljö O Linjetjänst","999767","0691-206 44","Fränsta","","/Fr%C3%A4nsta/Y_B_Milj%C3%B6_O_Linjetj%C3%A4nst/999767","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Fr%c3%a4nstav%c3%a4gen+258+F%2c+84012%2c+FR%c3%84NSTA%2c+Sweden"
16,"Y D Electronic & Computer Systems","934653","08-600 03 35","Enskededalen","","/Enskededalen/Y_D_Electronic__Computer_Systems/934653","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hembyggarv%c3%a4gen+17%2c+12133%2c+ENSKEDEDALEN%2c+Sweden"
17,"Y Dream Dress","2742914","0521-130 07","Alingsås","","/Alings%C3%A5s/Y_Dream_Dress/2742914","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Norra+Str%c3%b6mgatan+56%2c+44131%2c+ALINGS%c3%85S%2c+Sweden"
18,"Y Ekonomi HB","469924","0611-202 00","Härnösand","http://www.yekonomi.se","/H%C3%A4rn%C3%B6sand/Y_Ekonomi_HB/469924","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kronholmsplan+1%2c+87145%2c+H%c3%84RN%c3%96SAND%2c+Sweden"
19,"Y Form","1870882","0930-450 12","Lidingö","","/Liding%C3%B6/Y_Form/1870882","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Norrstigen+7+A%2c+18131%2c+LIDING%c3%96%2c+Sweden"
20,"Y & A Service AB","815913","08-611 51 89","Lidingö","","/Liding%C3%B6/Y__A_Service_AB/815913","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Stockholmsv%c3%a4gen+53%2c+18132%2c+LIDING%c3%96%2c+Sweden"
21,"Y & B Lilja","438924","","Viken","","/Viken/Y__B_Lilja/438924","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Selmas+Guda+3%2c+26361%2c+VIKEN%2c+Sweden"
22,"Y & C Äldreservice AB","2663761","","Norrtälje","","/Norrt%C3%A4lje/Y__C_%C3%84ldreservice_AB/2663761","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=B%c3%a4ltartorpsgatan+3+B%2c+76132%2c+NORRT%c3%84LJE%2c+Sweden"
23,"Y & C Design Innovation","1209674","031-253 03 39","Göteborg","","/G%C3%B6teborg/Y__C_Design_Innovation/1209674","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Trappg%c3%a5ngen+5%2c+41262%2c+G%c3%96TEBORG%2c+Sweden"
24,"Y & D Sundman AB","838497","08-400 551 80","Bromma","","/Bromma/Y__D_Sundman_AB/838497","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Grafitgr%c3%a4nd+2%2c+16860%2c+BROMMA%2c+Sweden"
25,"Y & M Fastigheter AB","1912994","054-54 79 80","Karlstad","","/Karlstad/Y__M_Fastigheter_AB/1912994","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Frykmans+V%c3%a4g+6%2c+65346%2c+KARLSTAD%2c+Sweden"
26,"Y & M Förvaltning AB","1534054","","Sundbyberg","","/Sundbyberg/Y__M_F%C3%B6rvaltning_AB/1534054","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sturegatan+35%2c+17231%2c+SUNDBYBERG%2c+Sweden"
27,"Y & P Beck Consulting AB","2187591","0300-299 55","Onsala","","/Onsala/Y__P_Beck_Consulting_AB/2187591","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Ebbag%c3%a4rdes+V%c3%a4g+15%2c+43933%2c+ONSALA%2c+Sweden"
28,"Y & Ps - Byggdesign","1859305","","Kungsängen","","/Kungs%C3%A4ngen/Y__Ps___Byggdesign/1859305","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sven+Beckmans+V%c3%a4g+46%2c+19634%2c+KUNGS%c3%84NGEN%2c+Sweden"
29,"Y & R Bygg AB","1967893","","Jordbro","","/Jordbro/Y__R_Bygg_AB/1967893","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Blockstensv%c3%a4gen+86%2c+13765%2c+JORDBRO%2c+Sweden"
30,"Y & Ro KB","2742486","08-83 73 12","Solna","","/Solna/Y__Ro_KB/2742486","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Storgatan+15%2c+17163%2c+SOLNA%2c+Sweden"
31,"Y & S SCREENTRYCK AB","107332","026-14 08 15","Forsbacka","","/Forsbacka/Y__S_SCREENTRYCK_AB/107332","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Storgatan+9%2c+81841%2c+FORSBACKA%2c+Sweden"
32,"Y A Carlsson Snabbservice AB","1002488","035-12 19 19","Halmstad","","/Halmstad/Y_A_Carlsson_Snabbservice_AB/1002488","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Fr%c3%a4saregatan+1%2c+30262%2c+HALMSTAD%2c+Sweden"
