0, "Compadres Taco Truck AB", "2816652", "", "Varberg", "", "/Varberg/Compadres_Taco_Truck_AB/2816652", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=T%c3%a5ngk%c3%b6rarv%c3%a4gen%2c+43254%2c+VARBERG%2c+Sweden"
1, "Compadvice", "306112", "", "Landskrona", "", "/Landskrona/Compadvice/306112", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=c%2fo+C+Arvesen%2c+J%c3%a4rnv%c3%a4gsgatan+51%2c+26136%2c+LANDSKRONA%2c+Sweden"
2, "Compagna", "1966588", "", "Ulricehamn", "", "/Ulricehamn/Compagna/1966588", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Ekhultsgatan+4%2c+52331%2c+ULRICEHAMN%2c+Sweden"
3, "Compagnie Auf der Strasse", "2138518", "", "Karlshamn", "", "/Karlshamn/Compagnie_Auf_der_Strasse/2138518", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Drottninggatan+60%2c+37436%2c+KARLSHAMN%2c+Sweden"
4, "Compagnie auf der Strasse Ekonomisk Förening", "1759747", "0454-841 00", "Olofström", "", "/Olofstr%C3%B6m/Compagnie_auf_der_Strasse_Ekonomisk_F%C3%B6rening/1759747", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=%c3%96stra+Storgatan+34%2c+29334%2c+OLOFSTR%c3%96M%2c+Sweden"
5, "Compagnie Jus de la Vie", "1472737", "", "Värmdö", "", "/V%C3%A4rmd%C3%B6/Compagnie_Jus_de_la_Vie/1472737", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Gullvivev%c3%a4gen+21%2c+13935%2c+V%c3%84RMD%c3%96%2c+Sweden"
6, "Compagnie Montagne AB", "1161075", "031-16 98 15", "Göteborg", "", "/G%C3%B6teborg/Compagnie_Montagne_AB/1161075", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sk%c3%a5negatan+27%2c+41252%2c+G%c3%96TEBORG%2c+Sweden"
7, "Compagniet Fastighetsbolaget C AB", "2958548", "", "Sundsvall", "", "/Sundsvall/Compagniet_Fastighetsbolaget_C_AB/2958548", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Glimmerv%c3%a4gen+27%2c+85357%2c+SUNDSVALL%2c+Sweden"
8, "Compagniet i Sverige AB", "1167443", "031-14 18 10", "Göteborg", "http://www.compagniet.nu", "/G%C3%B6teborg/Compagniet_i_Sverige_AB/1167443", "mailto:info@compagniet.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kusttorget+5%2c+41455%2c+G%c3%96TEBORG%2c+Sweden"
9, "Compagnino AB", "2005720", "08-647 27 46", "Enskede", "http://www.compagnino.se", "/Enskede/Compagnino_AB/2005720", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=B%c3%a4ckaskiftsv%c3%a4gen+66%2c+12242%2c+ENSKEDE%2c+Sweden"
10, "Compagnioni AB", "516009", "", "Timrå", "", "/Timr%C3%A5/Compagnioni_AB/516009", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Renfanev%c3%a4gen+1%2c+86191%2c+TIMR%c3%85%2c+Sweden"
11, "Compagno", "1118719", "08-560 327 67", "Stockholm", "", "/Stockholm/Compagno/1118719", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=H%c3%b6gbergsgatan+39%2c+11826%2c+STOCKHOLM%2c+Sweden"
12, "Compago", "2272692", "", "Älvsjö", "", "/%C3%84lvsj%C3%B6/Compago/2272692", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Turingev%c3%a4gen+90%2c+12543%2c+%c3%84LVSJ%c3%96%2c+Sweden"
13, "Compaiders Handelsbolag", "170223", "044-21 64 40", "Kristianstad", "", "/Kristianstad/Compaiders_Handelsbolag/170223", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Box+3057%2c+29103%2c+KRISTIANSTAD%2c+Sweden"
14, "CompAir AB", "1901846", "08-552 462 72", "Nykvarn", "http://www.compairab.se", "/Nykvarn/CompAir_AB/1901846", "mailto:info@compairab.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sundsviks+Hage+6%2c+15591%2c+NYKVARN%2c+Sweden"
15, "Compairavia Services AB", "2608327", "08-704 15 74", "Bromma", "", "/Bromma/Compairavia_Services_AB/2608327", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Drakstigen+2%2c+16772%2c+BROMMA%2c+Sweden"
16, "Compaktpoolen", "390723", "", "Marstrand", "", "/Marstrand/Compaktpoolen/390723", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Skepparegatan+3%2c+44266%2c+MARSTRAND%2c+Sweden"
17, "Companeros AB", "2930066", "", "Göteborg", "", "/G%C3%B6teborg/Companeros_AB/2930066", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=S%c3%b6dra+Larmgatan+16%2c+41116%2c+G%c3%96TEBORG%2c+Sweden"
18, "Compani 56 AB", "2920106", "", "Karlskrona", "", "/Karlskrona/Compani_56_AB/2920106", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Ronnebygatan+38%2c+37133%2c+KARLSKRONA%2c+Sweden"
19, "Compania Comder HB", "2416033", "033-475 12 72", "Hindås", "", "/Hind%C3%A5s/Compania_Comder_HB/2416033", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hind%c3%a5s+Stationsv%c3%a4g+2+B%2c+43853%2c+HIND%c3%85S%2c+Sweden"
20, "Companiet Hällefors - Grythyttan Ek för", "626636", "0591-513 00", "Hällefors", "", "/H%C3%A4llefors/Companiet_H%C3%A4llefors___Grythyttan_Ek_f%C3%B6r/626636", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Stationsv%c3%a4gen+1%2c+71230%2c+H%c3%84LLEFORS%2c+Sweden"
21, "Companiet Hårsalongen", "885517", "054-21 00 13", "Karlstad", "http://www.companiet.se", "/Karlstad/Companiet_H%C3%A5rsalongen/885517", "mailto:210013@companiet.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Drottninggatan+6%2c+65224%2c+KARLSTAD%2c+Sweden"
22, "Companiet Show Sport Klubb", "2794173", "", "Bjärred", "", "/Bj%C3%A4rred/Companiet_Show_Sport_Klubb/2794173", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Lundav%c3%a4gen+2%2c+23737%2c+BJ%c3%84RRED%2c+Sweden"
23, "Companilen", "346552", "", "Luleå", "", "/Lule%C3%A5/Companilen/346552", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Tr%c3%a4dg%c3%a5rdsgatan+24%2c+97238%2c+LULE%c3%85%2c+Sweden"
24, "Companion Services AB", "127010", "08-403 750 50", "Värmdö", "http://www.companion.se", "/V%C3%A4rmd%C3%B6/Companion_Services_AB/127010", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=N%c3%a4sv%c3%a4gen+40%2c+13933%2c+V%c3%84RMD%c3%96%2c+Sweden"
25, "Companions Stockholm AB", "2578631", "", "Skå", "", "/Sk%C3%A5/Companions_Stockholm_AB/2578631", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=L%c3%a4nnstav%c3%a4gen+3%2c+17975%2c+SK%c3%85%2c+Sweden"
26, "Companique AB", "2368457", "013-10 51 64", "Linköping", "", "/Link%C3%B6ping/Companique_AB/2368457", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Torggatan+6%2c+58219%2c+LINK%c3%96PING%2c+Sweden"
27, "Companit Holding AB", "726864", "031-80 11 90", "Sävedalen", "", "/S%C3%A4vedalen/Companit_Holding_AB/726864", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Soten%c3%a4sv%c3%a4gen+10%2c+43360%2c+S%c3%84VEDALEN%2c+Sweden"
28, "Compåno Konsulterna", "573053", "", "Adelsö", "", "/Adels%C3%B6/Comp%C3%A5no_Konsulterna/573053", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Lilla+Stenby+V%c3%a4g+4%2c+17892%2c+ADELS%c3%96%2c+Sweden"
29, "Company Car Solutions Växjö", "2232861", "0470-34 77 50", "Växjö", "", "/V%C3%A4xj%C3%B6/Company_Car_Solutions_V%C3%A4xj%C3%B6/2232861", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hejaregatan+4%2c+35246%2c+V%c3%84XJ%c3%96%2c+Sweden"
30, "Company Car Solutions Växjö AB", "2220645", "0470-366 74", "Växjö", "http://www.sixt.se", "/V%C3%A4xj%C3%B6/Company_Car_Solutions_V%C3%A4xj%C3%B6_AB/2220645", "mailto:vaxjo@sixt.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Arabygatan+57%2c+35246%2c+V%c3%84XJ%c3%96%2c+Sweden"
31, "Company Docs AB", "824576", "", "Falun", "", "/Falun/Company_Docs_AB/824576", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Ragvaldsberg+62%2c+79196%2c+FALUN%2c+Sweden"
32, "Company Footprint AB", "2978932", "", "Åkersberga", "", "/%C3%85kersberga/Company_Footprint_AB/2978932", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Badbergsv%c3%a4gen+4+B%2c+18460%2c+%c3%85KERSBERGA%2c+Sweden"
33, "Company Four AB", "1739156", "033-10 69 68", "Borås", "", "/Bor%C3%A5s/Company_Four_AB/1739156", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sagagatan+22%2c+50635%2c+BOR%c3%85S%2c+Sweden"
34, "Company Garage Sales", "1019706", "", "Stockholm", "", "/Stockholm/Company_Garage_Sales/1019706", "mailto:info@american-nostalgia-shop.nu", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sankt+Eriksgatan+96%2c+11331%2c+STOCKHOLM%2c+Sweden"
35, "Company Jeans AB", "133425", "036-12 60 80", "Jönköping", "http://www.companyjeans.com", "/J%C3%B6nk%C3%B6ping/Company_Jeans_AB/133425", "mailto:info@companyjeans.com", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sol%c3%a5sv%c3%a4gen+22%2c+55303%2c+J%c3%96NK%c3%96PING%2c+Sweden"
36, "Company Jeans Öland AB", "1774212", "0485-774 16", "Borgholm", "", "/Borgholm/Company_Jeans_%C3%96land_AB/1774212", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Storgatan+32%2c+38731%2c+BORGHOLM%2c+Sweden"
37, "Company Kudo", "573794", "08-34 47 55", "Stockholm", "", "/Stockholm/Company_Kudo/573794", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Magnus+Ladul%c3%a5sgatan+15%2c+11865%2c+STOCKHOLM%2c+Sweden"
