0,"Myriam Peyrard Rosenmetoden","1862315","08-722 80 92","Johanneshov","","/Johanneshov/Myriam_Peyrard_Rosenmetoden/1862315","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Konstgjutarv%c3%a4gen+14%2c+12144%2c+JOHANNESHOV%2c+Sweden"
1,"Myrica AB","602861","0370-154 82","Värnamo","http://www.myrica.se","/V%C3%A4rnamo/Myrica_AB/602861","mailto:info@myrica.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Malm%c3%b6v%c3%a4gen+14%2c+33142%2c+V%c3%84RNAMO%2c+Sweden"
2,"Myricadesign AB","851771","","Stockholm","http://www.myricadesign.com","/Stockholm/Myricadesign_AB/851771","mailto:info@myricadesign.com","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=%c3%96stg%c3%b6tagatan+87+A%2c+11664%2c+STOCKHOLM%2c+Sweden"
3,"Myrild AB","1412107","018-71 06 17","Uppsala","","/Uppsala/Myrild_AB/1412107","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Smedsgr%c3%a4nd+3%2c+75320%2c+UPPSALA%2c+Sweden"
4,"Myrimax","964874","","Enskede","http://www.myrimax.se","/Enskede/Myrimax/964874","mailto:info@myrimax.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hammerstav%c3%a4gen+83%2c+12260%2c+ENSKEDE%2c+Sweden"
5,"Myrimax AB","2623715","","Enskede","","/Enskede/Myrimax_AB/2623715","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hammerstav%c3%a4gen+83%2c+12260%2c+ENSKEDE%2c+Sweden"
6,"Myrin Olle, Doktor","604072","08-758 65 67","Täby","","/T%C3%A4by/Myrin_Olle_Doktor/604072","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Attundaf%c3%a4ltet+16%2c+18334%2c+T%c3%84BY%2c+Sweden"
7,"Myrin Staffan","412189","0522-64 15 80","Uddevalla","","/Uddevalla/Myrin_Staffan/412189","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kolvik+620%2c+45197%2c+UDDEVALLA%2c+Sweden"
8,"Myrin, Göran","1775358","08-650 41 03","Stockholm","","/Stockholm/Myrin_G%C3%B6ran/1775358","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Frejgatan+1%2c+11420%2c+STOCKHOLM%2c+Sweden"
9,"Myrin, Joakim","559658","","Älvsjö","","/%C3%84lvsj%C3%B6/Myrin_Joakim/559658","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Vagnh%c3%a4radsv%c3%a4gen+11%2c+12543%2c+%c3%84LVSJ%c3%96%2c+Sweden"
