0, "Lasse Nystedt Konsult AB", "2899640", "0682-200 87", "Rätan", "", "/R%C3%A4tan/Lasse_Nystedt_Konsult_AB/2899640", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=B%c3%b6le+126%2c+84030%2c+R%c3%84TAN%2c+Sweden"
1, "Lasse o Rycker Ut", "218296", "040-30 03 50", "Färlöv", "", "/F%C3%A4rl%C3%B6v/Lasse_o_Rycker_Ut/218296", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Torsebrov%c3%a4gen+8%2c+29175%2c+F%c3%84RL%c3%96V%2c+Sweden"
2, "Lasse O Tommy's Golfrestaurang", "242309", "08-591 145 41", "Knivsta", "", "/Knivsta/Lasse_O_Tommys_Golfrestaurang/242309", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Vassunda+Smedby+G%c3%a5rd%2c+74191%2c+KNIVSTA%2c+Sweden"
3, "Lasse och Gunilla AB", "615901", "0522-64 12 55", "Uddevalla", "", "/Uddevalla/Lasse_och_Gunilla_AB/615901", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Rosa+V%c3%a4gen+3%2c+45198%2c+UDDEVALLA%2c+Sweden"
4, "Lasse Öhlin-Peak Adventure", "944153", "08-501 510 16", "Dalarö", "", "/Dalar%C3%B6/Lasse_%C3%96hlin_Peak_Adventure/944153", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=G%c3%b6tav%c3%a4gen+3+B%2c+13770%2c+DALAR%c3%96%2c+Sweden"
5, "Lasse Olovsson AB", "2848179", "08-27 19 56", "Stockholm", "", "/Stockholm/Lasse_Olovsson_AB/2848179", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sveav%c3%a4gen+62%2c+11134%2c+STOCKHOLM%2c+Sweden"
6, "Lasse Olsson Produktioner", "216543", "042-33 19 95", "Höganäs", "", "/H%C3%B6gan%C3%A4s/Lasse_Olsson_Produktioner/216543", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Strandgatan+7%2c+26332%2c+H%c3%96GAN%c3%84S%2c+Sweden"
7, "Lasse Östlunds Musikproduktion", "342685", "08-669 22 75", "Stockholm", "", "/Stockholm/Lasse_%C3%96stlunds_Musikproduktion/342685", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=H%c3%b6galidsgatan+34+C%2c+11730%2c+STOCKHOLM%2c+Sweden"
8, "Lasse P Allfix", "1140928", "0651-208 30", "Färila", "", "/F%C3%A4rila/Lasse_P_Allfix/1140928", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Smedv%c3%a4gen+5%2c+82041%2c+F%c3%84RILA%2c+Sweden"
9, "Lasse på Heden AB", "2796133", "031-701 08 28", "Göteborg", "", "/G%C3%B6teborg/Lasse_p%C3%A5_Heden_AB/2796133", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Lasarettsgatan+6%2c+41119%2c+G%c3%96TEBORG%2c+Sweden"
