0, "Gross Carl Stellan", "355299", "08-611 27 50", "Stockholm", "", "/Stockholm/Gross_Carl_Stellan/355299", "mailto:stellan.gross@colgrip.com", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Box+10103%2c+10055%2c+STOCKHOLM%2c+Sweden"
1, "Gross Elservice", "329071", "031-99 24 58", "Lindome", "", "/Lindome/Gross_Elservice/329071", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=G%c3%a4ddas+Backe+20%2c+43741%2c+LINDOME%2c+Sweden"
2, "Gross Guidar", "2314721", "08-122 901 86", "Årsta", "http://www.grossguidar.se", "/%C3%85rsta/Gross_Guidar/2314721", "mailto:david@grossguidar.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sk%c3%b6ntorpsv%c3%a4gen+85%2c+12053%2c+%c3%85RSTA%2c+Sweden"
3, "Gross Pro Sweden AB", "2983649", "0220-71 71 94", "Ramnäs", "", "/Ramn%C3%A4s/Gross_Pro_Sweden_AB/2983649", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hammarv%c3%a4gen+26%2c+73060%2c+RAMN%c3%84S%2c+Sweden"
4, "Gross Produktion AB", "1359354", "", "Stockholm", "http://www.holgergross.se", "/Stockholm/Gross_Produktion_AB/1359354", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Husarviksgatan+4%2c+11545%2c+STOCKHOLM%2c+Sweden"
5, "Gross Revisionsbyrå AB, J Å", "991982", "031-81 72 60", "Göteborg", "http://www.grossrev.se", "/G%C3%B6teborg/Gross_Revisionsbyr%C3%A5_AB_J_%C3%85/991982", "mailto:info@grossrev.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Berzeliigatan+14%2c+41253%2c+G%c3%96TEBORG%2c+Sweden"
6, "Gross, Jonas", "345789", "08-656 09 10", "Stockholm", "", "/Stockholm/Gross_Jonas/345789", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Karlsviksgatan+1%2c+11241%2c+STOCKHOLM%2c+Sweden"
7, "Gross, Lena", "3016925", "08-664 16 60", "Stockholm", "", "/Stockholm/Gross_Lena/3016925", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Roslagstullsbacken+16%2c+11421%2c+STOCKHOLM%2c+Sweden"
8, "Grossab Förvaltnings AB", "2760467", "", "Lidköping", "", "/Lidk%C3%B6ping/Grossab_F%C3%B6rvaltnings_AB/2760467", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Box+2004%2c+53102%2c+LIDK%c3%96PING%2c+Sweden"
9, "Grossab i Lidköping AB", "326566", "0510-48 90 75", "Lidköping", "", "/Lidk%C3%B6ping/Grossab_i_Lidk%C3%B6ping_AB/326566", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sockerbruksgatan+22%2c+53140%2c+LIDK%c3%96PING%2c+Sweden"
10, "Grössbacke Bil", "637320", "", "Svenshögen", "", "/Svensh%C3%B6gen/Gr%C3%B6ssbacke_Bil/637320", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Gullborga+110%2c+44497%2c+SVENSH%c3%96GEN%2c+Sweden"
11, "Grossbolsskolan", "1170641", "054-17 22 92", "Forshaga", "", "/Forshaga/Grossbolsskolan/1170641", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=S%c3%b6dergatan+1%2c+66731%2c+FORSHAGA%2c+Sweden"
12, "Grossbom AB", "1886775", "08-623 05 98", "Sollentuna", "", "/Sollentuna/Grossbom_AB/1886775", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Minervav%c3%a4gen+5%2c+19150%2c+SOLLENTUNA%2c+Sweden"
13, "Grössby Bygg & Entreprenad", "2676341", "0303-77 56 26", "Ucklum", "", "/Ucklum/Gr%C3%B6ssby_Bygg__Entreprenad/2676341", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Gr%c3%b6ssby+gata+217%2c+44494%2c+UCKLUM%2c+Sweden"
14, "Grössby Bygg & Entreprenad i Ucklum AB", "2749668", "", "Ucklum", "", "/Ucklum/Gr%C3%B6ssby_Bygg__Entreprenad_i_Ucklum_AB/2749668", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Gr%c3%b6ssby+Gata+217%2c+44494%2c+UCKLUM%2c+Sweden"
15, "Grossdepån Göteborg", "665932", "031-727 23 22", "Mölndal", "", "/M%C3%B6lndal/Grossdep%C3%A5n_G%C3%B6teborg/665932", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=G%c3%b6teborgsv%c3%a4gen+89%2c+43130%2c+M%c3%96LNDAL%2c+Sweden"
16, "Grosse, Christian", "354041", "", "Lund", "", "/Lund/Grosse_Christian/354041", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Basgr%c3%a4nden+6%2c+22468%2c+LUND%2c+Sweden"
17, "Grossema AB", "2958646", "031-69 80 83", "Västra frölunda", "", "/V%C3%A4stra_fr%C3%B6lunda/Grossema_AB/2958646", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Norra+Fiskeb%c3%a4cksv%c3%a4gen+258%2c+42658%2c+V%c3%84STRA+FR%c3%96LUNDA%2c+Sweden"
18, "Grossen AB", "991102", "031-65 58 13", "Göteborg", "http://www.grossen.se", "/G%C3%B6teborg/Grossen_AB/991102", "mailto:info@grossen.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hildedalsgatan+1%2c+41705%2c+G%c3%96TEBORG%2c+Sweden"
19, "Grossen Textil", "468198", "", "Åhus", "", "/%C3%85hus/Grossen_Textil/468198", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Villav%c3%a4gen+32+B%2c+29638%2c+%c3%85HUS%2c+Sweden"
20, "Grosser Boden", "1103497", "033-28 49 29", "Seglora", "", "/Seglora/Grosser_Boden/1103497", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hessered+%c3%96jarebacken%2c+51593%2c+SEGLORA%2c+Sweden"
21, "Grosset 1 i Söderhamn AB", "1803355", "", "Söderhamn", "", "/S%C3%B6derhamn/Grosset_1_i_S%C3%B6derhamn_AB/1803355", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=S%c3%b6dra+Hamngatan+20%2c+82650%2c+S%c3%96DERHAMN%2c+Sweden"
22, "Grossfast AB", "124020", "031-707 00 41", "Göteborg", "", "/G%C3%B6teborg/Grossfast_AB/124020", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Gamlestadsv%c3%a4gen+22%2c+41502%2c+G%c3%96TEBORG%2c+Sweden"
23, "Grossgårdens Lantbruk AB", "432576", "0512-103 91", "Vara", "", "/Vara/Grossg%C3%A5rdens_Lantbruk_AB/432576", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Vara+Grossg%c3%a5rden%2c+53495%2c+VARA%2c+Sweden"
24, "Grossgärdets Bygg och Kvalitetsansvar", "1874637", "", "Norrtälje", "", "/Norrt%C3%A4lje/Grossg%C3%A4rdets_Bygg_och_Kvalitetsansvar/1874637", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Carlstr%c3%b6msgatan+7%2c+76145%2c+NORRT%c3%84LJE%2c+Sweden"
25, "Grossgärdets Måleri AB", "2809864", "", "Norrtälje", "", "/Norrt%C3%A4lje/Grossg%C3%A4rdets_M%C3%A5leri_AB/2809864", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kungsgatan+5%2c+76144%2c+NORRT%c3%84LJE%2c+Sweden"
26, "Grosshandlar'n", "365292", "08-612 50 55", "Stockholm", "http://www.grosshandlarn.se", "/Stockholm/Grosshandlarn/365292", "mailto:webmaster@grosshandlarn.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Odengatan+34%2c+11351%2c+STOCKHOLM%2c+Sweden"
27, "Grosshandlar'n", "1072135", "08-21 22 11", "Stockholm", "http://www.grosshandlarn.se", "/Stockholm/Grosshandlarn/1072135", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Vasagatan+11%2c+11120%2c+STOCKHOLM%2c+Sweden"
28, "Grossi Stresskonsult", "321203", "08-36 20 09", "Stockholm", "", "/Stockholm/Grossi_Stresskonsult/321203", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Torsgatan+74%2c+11337%2c+STOCKHOLM%2c+Sweden"
