0,"Roots Hårsalong","2866018","042-13 10 35","Helsingborg","","/Helsingborg/Roots_H%C3%A5rsalong/2866018","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Drottninggatan+62%2c+25221%2c+HELSINGBORG%2c+Sweden"
1,"Roots In Sweden","117026","0300-54 53 69","Göteborg","","/G%C3%B6teborg/Roots_In_Sweden/117026","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Norra+Liden+15%2c+41118%2c+G%c3%96TEBORG%2c+Sweden"
2,"Roots Ingenjörs Firma","1151855","08-522 275 03","Eskilstuna","","/Eskilstuna/Roots_Ingenj%C3%B6rs_Firma/1151855","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Skyttegatan+25+A%2c+63226%2c+ESKILSTUNA%2c+Sweden"
3,"Roots of Sweden AB","718154","011-18 00 24","Norrköping","http://www.roots.se","/Norrk%C3%B6ping/Roots_of_Sweden_AB/718154","mailto:salongen@roots.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Gamla+R%c3%a5dstugugatan+24%2c+60224%2c+NORRK%c3%96PING%2c+Sweden"
4,"Roots Tesito","2681116","040-30 37 81","Oxie","","/Oxie/Roots_Tesito/2681116","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Majs%c3%a5kersv%c3%a4gen+35%2c+23836%2c+OXIE%2c+Sweden"
5,"Rootsylive AB","2809517","","Norrtälje","","/Norrt%C3%A4lje/Rootsylive_AB/2809517","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=F%c3%a5gels%c3%a5ngsv%c3%a4gen+55%2c+76163%2c+NORRT%c3%84LJE%2c+Sweden"
6,"Roottech HB","460965","031-49 58 95","Västra frölunda","","/V%C3%A4stra_fr%C3%B6lunda/Roottech_HB/460965","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Ensk%c3%a4rsgatan+7%2c+42160%2c+V%c3%84STRA+FR%c3%96LUNDA%2c+Sweden"
7,"Rooz Dezign","2408489","08-530 430 11","Sorunda","http://cocoz.se","/Sorunda/Rooz_Dezign/2408489","mailto:orjan@roozdezign.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sorundav%c3%a4gen+594%2c+14896%2c+SORUNDA%2c+Sweden"
8,"Ropa Kommunikation","1403320","08-716 27 33","Nacka","","/Nacka/Ropa_Kommunikation/1403320","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=John+Lod%c3%a9ns+V%c3%a4g+21%2c+13141%2c+NACKA%2c+Sweden"
9,"Ropa Reklam AB","1083070","08-740 34 30","Hägersten","","/H%C3%A4gersten/Ropa_Reklam_AB/1083070","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=L%c3%a4rlingsbacken+4%2c+12942%2c+H%c3%84GERSTEN%2c+Sweden"
10,"ROPA Transport AB","177033","042-22 93 49","Helsingborg","","/Helsingborg/ROPA_Transport_AB/177033","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Rybsgatan+1%2c+25374%2c+HELSINGBORG%2c+Sweden"
11,"Ropab Bilutrustning","2274805","","Jönköping","","/J%C3%B6nk%C3%B6ping/Ropab_Bilutrustning/2274805","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Industrigatan+10+A%2c+55302%2c+J%c3%96NK%c3%96PING%2c+Sweden"
12,"Ropack Fastighets AB","302239","0411-55 66 40","Skurup","","/Skurup/Ropack_Fastighets_AB/302239","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Maskingatan+4%2c+27430%2c+SKURUP%2c+Sweden"
13,"Ropack Materialhantering AB","981567","0411-55 66 40","Skurup","http://www.ropack.se","/Skurup/Ropack_Materialhantering_AB/981567","mailto:sales@ropack.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Maskingatan+4%2c+27430%2c+SKURUP%2c+Sweden"
14,"Roparebacken i Kungshamn Intressenter AB","1235674","0523-707 00","Kungshamn","","/Kungshamn/Roparebacken_i_Kungshamn_Intressenter_AB/1235674","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Roparebacken+25%2c+45631%2c+KUNGSHAMN%2c+Sweden"
15,"Roparebackens Fastigheter AB","2971166","0303-22 10 10","Kungälv","","/Kung%C3%A4lv/Roparebackens_Fastigheter_AB/2971166","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Trollh%c3%a4ttev%c3%a4gen+34%2c+44234%2c+KUNG%c3%84LV%2c+Sweden"
16,"Ropax i Clipper AB","1542421","040-17 68 12","Malmö","","/Malm%C3%B6/Ropax_i_Clipper_AB/1542421","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Box+106%2c+20121%2c+MALM%c3%96%2c+Sweden"
17,"Ropax Ii Europalink AB","833234","040-17 68 12","Malmö","","/Malm%C3%B6/Ropax_Ii_Europalink_AB/833234","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Box+106%2c+20121%2c+MALM%c3%96%2c+Sweden"
18,"Ropax Iii Nordlink AB","1794959","040-17 68 12","Malmö","","/Malm%C3%B6/Ropax_Iii_Nordlink_AB/1794959","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Box+106%2c+20121%2c+MALM%c3%96%2c+Sweden"
19,"Ropax Iv Arrow AB","1903871","040-17 68 12","Malmö","","/Malm%C3%B6/Ropax_Iv_Arrow_AB/1903871","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Box+106%2c+20121%2c+MALM%c3%96%2c+Sweden"
20,"Röpcke, Dirk Wolfgang","1429759","0492-502 63","Vimmerby","","/Vimmerby/R%C3%B6pcke_Dirk_Wolfgang/1429759","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Lillgatan+8%2c+59896%2c+VIMMERBY%2c+Sweden"
21,"Ropco AB","2467270","","Landvetter","","/Landvetter/Ropco_AB/2467270","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hjortronv%c3%a4gen+7%2c+43834%2c+LANDVETTER%2c+Sweden"
22,"Rope AB","2821029","019-12 24 10","Örebro","","/%C3%96rebro/Rope_AB/2821029","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Brogatan+53%2c+70358%2c+%c3%96REBRO%2c+Sweden"
23,"Rope Access Stockholm AB","2406438","08-796 92 10","Stockholm","","/Stockholm/Rope_Access_Stockholm_AB/2406438","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Magnus+Ladul%c3%a5sgatan+8%2c+11866%2c+STOCKHOLM%2c+Sweden"
24,"Rope Access Sverige AB","140291","08-796 92 10","Stockholm","http://www.ropeaccess.se","/Stockholm/Rope_Access_Sverige_AB/140291","mailto:info@ropeaccess.com","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Tomtebogatan+39%2c+11338%2c+STOCKHOLM%2c+Sweden"
25,"Rope Access Sverige Safety Training AB","2945146","","Malmö","","/Malm%C3%B6/Rope_Access_Sverige_Safety_Training_AB/2945146","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Adelgatan+21%2c+21122%2c+MALM%c3%96%2c+Sweden"
26,"Rope Redovisningskonsult HB","1891717","08-718 55 74","Nacka","","/Nacka/Rope_Redovisningskonsult_HB/1891717","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Edinsv%c3%a4gen+6%2c+13145%2c+NACKA%2c+Sweden"
27,"Rope Solutions i Norrköping AB","2799127","011-12 81 31","Norrköping","","/Norrk%C3%B6ping/Rope_Solutions_i_Norrk%C3%B6ping_AB/2799127","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Torsgatan+13+A%2c+60363%2c+NORRK%c3%96PING%2c+Sweden"
28,"ROPE Webdesign","385989","","Södertälje","http://www.rope.nu","/S%C3%B6dert%C3%A4lje/ROPE_Webdesign/385989","mailto:info@rope.nu","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Stativv%c3%a4gen+14%2c+15252%2c+S%c3%96DERT%c3%84LJE%2c+Sweden"
29,"Ropebo","2283679","","Enköping","","/Enk%C3%B6ping/Ropebo/2283679","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kyrkogatan+33+C%2c+74531%2c+ENK%c3%96PING%2c+Sweden"
30,"Ropec Resources HB","2798099","","Växjö","","/V%C3%A4xj%C3%B6/Ropec_Resources_HB/2798099","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Tegn%c3%a9rgatan+2+A%2c+35234%2c+V%c3%84XJ%c3%96%2c+Sweden"
31,"Ropeco AB","2751577","040-40 27 01","Svedala","","/Svedala/Ropeco_AB/2751577","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kyrkogatan+27%2c+23342%2c+SVEDALA%2c+Sweden"
32,"Ropeka Konsult AB","838804","042-22 34 85","Helsingborg","","/Helsingborg/Ropeka_Konsult_AB/838804","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Drottninggatan+214%2c+25433%2c+HELSINGBORG%2c+Sweden"
33,"Ropel Of Sweden HB","2861896","","Torslanda","","/Torslanda/Ropel_Of_Sweden_HB/2861896","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=%c3%84lvkvarnsv%c3%a4gen+15%2c+42351%2c+TORSLANDA%2c+Sweden"
34,"Ropema AB","2271640","","Pajala","","/Pajala/Ropema_AB/2271640","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kardis+106%2c+98492%2c+PAJALA%2c+Sweden"
35,"Ropeto Data AB","1080581","0383-641 70","Landsbro","","/Landsbro/Ropeto_Data_AB/1080581","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Fr%c3%b6derydsv%c3%a4gen+11%2c+57012%2c+LANDSBRO%2c+Sweden"
36,"Ropfast AB","384205","0270-177 21","Söderhamn","","/S%C3%B6derhamn/Ropfast_AB/384205","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sundsbergsv%c3%a4gen+6%2c+82640%2c+S%c3%96DERHAMN%2c+Sweden"
37,"Ropgränd Invest AB","586378","08-792 46 78","Täby","","/T%C3%A4by/Ropgr%C3%A4nd_Invest_AB/586378","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Bronsv%c3%a4gen+8%2c+18744%2c+T%c3%84BY%2c+Sweden"
38,"Roph Invest AB","2575968","","Delsbo","","/Delsbo/Roph_Invest_AB/2575968","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hammarsvallsv%c3%a4gen+35%2c+82060%2c+DELSBO%2c+Sweden"
39,"Ropi Resultat AB","2962321","","Stockholm","","/Stockholm/Ropi_Resultat_AB/2962321","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Fleminggatan+58%2c+11245%2c+STOCKHOLM%2c+Sweden"
40,"Ropia AB","391568","","Laholm","http://www.ropia.se","/Laholm/Ropia_AB/391568","mailto:ronny@ropia.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Id%c3%a9v%c3%a4gen+10%2c+31296%2c+LAHOLM%2c+Sweden"
41,"Roplan AB","1037852","08-449 99 00","Tumba","http://www.roplan.com","/Tumba/Roplan_AB/1037852","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Skyttbrinksv%c3%a4gen+20%2c+14739%2c+TUMBA%2c+Sweden"
42,"Roplan Aircraft AB","401966","08-449 99 00","Tumba","","/Tumba/Roplan_Aircraft_AB/401966","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Box+120%2c+14722%2c+TUMBA%2c+Sweden"
43,"Roplan Business Development Center AB","2190752","08-449 99 00","Tumba","","/Tumba/Roplan_Business_Development_Center_AB/2190752","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Skyttbrinksv%c3%a4gen+20%2c+14739%2c+TUMBA%2c+Sweden"
44,"Roplan Development Center AB","1841946","08-449 99 00","Tumba","","/Tumba/Roplan_Development_Center_AB/1841946","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Skyttbrinksv%c3%a4gen+20%2c+14739%2c+TUMBA%2c+Sweden"
45,"Roplan International AB","428457","08-530 308 80","Tumba","","/Tumba/Roplan_International_AB/428457","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Skyttbrinksv%c3%a4gen+20%2c+14739%2c+TUMBA%2c+Sweden"
46,"Roplan Products AB","402125","08-449 99 99","Tumba","http://www.roplan.com","/Tumba/Roplan_Products_AB/402125","mailto:info@roplan.com","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Skyttbrinksv%c3%a4gen+20%2c+14739%2c+TUMBA%2c+Sweden"
47,"Roplan Sales AB","402087","08-449 99 00","Tumba","http://www.roplan.com","/Tumba/Roplan_Sales_AB/402087","mailto:info@roplan.com","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Skyttbrinksv%c3%a4gen+20%2c+14739%2c+TUMBA%2c+Sweden"
48,"Roplan Trading AB","2305330","08-449 99 00","Tumba","","/Tumba/Roplan_Trading_AB/2305330","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Box+120%2c+14722%2c+TUMBA%2c+Sweden"
49,"Ropo AB","2679160","08-667 76 07","Stockholm","","/Stockholm/Ropo_AB/2679160","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Ringv%c3%a4gen+149%2c+11631%2c+STOCKHOLM%2c+Sweden"
50,"Roppens El & Data","455890","","Västerås","","/V%C3%A4ster%C3%A5s/Roppens_El__Data/455890","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=G%c3%b6tgatan+3%2c+72462%2c+V%c3%84STER%c3%85S%2c+Sweden"
51,"Roppongi,ömsesidig Sakförsäkring i Likvidation","2505444","08-555 699 00","Stockholm","","/Stockholm/Roppongi%C3%B6msesidig_Sakf%C3%B6rs%C3%A4kring_i_Likvidation/2505444","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Box+7495%2c+10392%2c+STOCKHOLM%2c+Sweden"
52,"Roppongi-Seikoen","2090576","08-10 03 10","Stockholm","http://www.seikoen.se","/Stockholm/Roppongi_Seikoen/2090576","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Tegelbacken+2%2c+11152%2c+STOCKHOLM%2c+Sweden"
53,"Ropson Produktion","531665","0611-222 64","Stockholm","","/Stockholm/Ropson_Produktion/531665","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sj%c3%b6bj%c3%b6rnsv%c3%a4gen+66+D%2c+11767%2c+STOCKHOLM%2c+Sweden"
54,"Ropson Produktion","1867189","08-23 26 50","Stockholm","","/Stockholm/Ropson_Produktion/1867189","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sj%c3%b6bj%c3%b6rnsv%c3%a4gen+66+D%2c+11767%2c+STOCKHOLM%2c+Sweden"
55,"Ropsten Thai Food & Sushi","805045","08-722 38 03","Bandhagen","","/Bandhagen/Ropsten_Thai_Food__Sushi/805045","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sj%c3%b6sav%c3%a4gen+26%2c+12455%2c+BANDHAGEN%2c+Sweden"
56,"Ropsten Thai Food & Sushi","2139356","08-664 64 40","Stockholm","http://www.ropstenthaisushi.se","/Stockholm/Ropsten_Thai_Food__Sushi/2139356","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Gasverksv%c3%a4gen+54%2c+11542%2c+STOCKHOLM%2c+Sweden"
57,"Ropsten Trafik och Service AB","2849690","","Skärholmen","","/Sk%C3%A4rholmen/Ropsten_Trafik_och_Service_AB/2849690","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=%c3%85lgrytev%c3%a4gen+139%2c+12731%2c+SK%c3%84RHOLMEN%2c+Sweden"
58,"Ropstens Fibernät Ekonomisk Förening","2769050","","Sigtuna","","/Sigtuna/Ropstens_Fibern%C3%A4t_Ekonomisk_F%C3%B6rening/2769050","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Herrhagsv%c3%a4gen+22%2c+19331%2c+SIGTUNA%2c+Sweden"
59,"Ropstugan Fritidsgård","1251208","090-16 35 47","Holmsund","","/Holmsund/Ropstugan_Fritidsg%C3%A5rd/1251208","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Storgatan+15%2c+91335%2c+HOLMSUND%2c+Sweden"
60,"Ropudden Rådgivning AB","1347050","08-796 37 00","Stockholm","","/Stockholm/Ropudden_R%C3%A5dgivning_AB/1347050","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Box+19158%2c+10432%2c+STOCKHOLM%2c+Sweden"
61,"Ropus Nordic AB","2920466","021-221 34","Västerås","","/V%C3%A4ster%C3%A5s/Ropus_Nordic_AB/2920466","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=H%c3%a5llgatan+4%2c+72211%2c+V%c3%84STER%c3%85S%2c+Sweden"
62,"Roqier AB","826031","","Ulricehamn","","/Ulricehamn/Roqier_AB/826031","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Majg%c3%a5rdsgatan+19%2c+52331%2c+ULRICEHAMN%2c+Sweden"
63,"Roque Club","2684990","0491-182 04","Oskarshamn","","/Oskarshamn/Roque_Club/2684990","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Herrg%c3%a5rdsv%c3%a4gen+1%2c+57237%2c+OSKARSHAMN%2c+Sweden"
64,"Roqueller","2766920","08-86 08 97","Tyresö","","/Tyres%C3%B6/Roqueller/2766920","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Bj%c3%b6rnb%c3%a4rsv%c3%a4gen+9%2c+13562%2c+TYRES%c3%96%2c+Sweden"
65,"Rör & Allservice i Kårsta","2440809","","Vallentuna","","/Vallentuna/R%C3%B6r__Allservice_i_K%C3%A5rsta/2440809","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Brobyh%c3%b6jden+4%2c+18696%2c+VALLENTUNA%2c+Sweden"
66,"Rör & Anläggningsteknik Rikard Säll AB","2640897","","Hässelby","","/H%C3%A4sselby/R%C3%B6r__Anl%C3%A4ggningsteknik_Rikard_S%C3%A4ll_AB/2640897","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Backtimjegr%c3%a4nd+9%2c+16573%2c+H%c3%84SSELBY%2c+Sweden"
67,"Rör & Bygg i Piteå AB","2849469","","Piteå","","/Pite%C3%A5/R%C3%B6r__Bygg_i_Pite%C3%A5_AB/2849469","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Floragatan+33%2c+94151%2c+PITE%c3%85%2c+Sweden"
