0, "Veteranbil & Mc Renovering Himberg", "510234", "0175-141 80", "Hallstavik", "", "/Hallstavik/Veteranbil__Mc_Renovering_Himberg/510234", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Bj%c3%b6rklunden+2863%2c+76394%2c+HALLSTAVIK%2c+Sweden"
1, "Veterandelsdepå i Gbg", "119567", "031-300 68 05", "Göteborg", "", "/G%C3%B6teborg/Veterandelsdep%C3%A5_i_Gbg/119567", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Nordostpassagen+41%2c+41311%2c+G%c3%96TEBORG%2c+Sweden"
2, "Veteranen Centerfören Ekonomisk Fören", "473266", "0526-141 07", "Strömstad", "", "/Str%C3%B6mstad/Veteranen_Centerf%C3%B6ren_Ekonomisk_F%C3%B6ren/473266", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Box+16%2c+45221%2c+STR%c3%96MSTAD%2c+Sweden"
3, "Veteraner i Söderort AB", "2709135", "08-437 475 56", "Farsta", "", "/Farsta/Veteraner_i_S%C3%B6derort_AB/2709135", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Eksh%c3%a4radsgatan+13%2c+12346%2c+FARSTA%2c+Sweden"
4, "Veteranerna Pensionärsföreningen av S P F", "399709", "0520-332 55", "Trollhättan", "", "/Trollh%C3%A4ttan/Veteranerna_Pension%C3%A4rsf%C3%B6reningen_av_S_P_F/399709", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Drottninggatan+39%2c+46133%2c+TROLLH%c3%84TTAN%2c+Sweden"
5, "Veteranförlaget", "239398", "0141-23 90 68", "Motala", "", "/Motala/Veteranf%C3%B6rlaget/239398", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Bl%c3%a5vingev%c3%a4gen+5%2c+59152%2c+MOTALA%2c+Sweden"
6, "Veterania", "631370", "0121-421 10", "Söderköping", "http://www.veterania.se", "/S%C3%B6derk%C3%B6ping/Veterania/631370", "mailto:info@veterania.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Stegeborg+Solg%c3%a5rden%2c+61497%2c+S%c3%96DERK%c3%96PING%2c+Sweden"
7, "Veterankraft Lidingö", "2437306", "08-533 324 00", "Lidingö", "http://veterankraft.se/privatkund/kontakt-oss/lidingo/", "/Liding%C3%B6/Veterankraft_Liding%C3%B6/2437306", "mailto:stephan.sahl@veterankraft.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Herserudsv%c3%a4gen+5%2c+18150%2c+LIDING%c3%96%2c+Sweden"
8, "Veterankraft Stockholm city Norrort", "2233338", "08-645 42 00", "Danderyd", "", "/Danderyd/Veterankraft_Stockholm_city_Norrort/2233338", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Vendev%c3%a4gen+90%2c+18232%2c+DANDERYD%2c+Sweden"
9, "Veterankraft Västerås", "2576147", "021-444 20 30", "Västerås", "", "/V%C3%A4ster%C3%A5s/Veterankraft_V%C3%A4ster%C3%A5s/2576147", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sl%c3%a5nb%c3%a4rsgatan+8%2c+72223%2c+V%c3%84STER%c3%85S%2c+Sweden"
10, "Veteranlimousiner i Stockholm AB", "337565", "08-640 40 39", "Stockholm", "", "/Stockholm/Veteranlimousiner_i_Stockholm_AB/337565", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Blekingegatan+46%2c+11662%2c+STOCKHOLM%2c+Sweden"
11, "Veteranmagasinet", "490271", "0411-621 47", "Ystad", "http://www.geijers-hastsport.se", "/Ystad/Veteranmagasinet/490271", "mailto:hastsport@ystad.nu", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Bussj%c3%b6+Skolv%c3%a4g+83-19%2c+27199%2c+YSTAD%2c+Sweden"
12, "Veteran-Mc", "214534", "0417-215 95", "Lövestad", "http://www.veteranmc.se", "/L%C3%B6vestad/Veteran_Mc/214534", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Mejerigatan+6%2c+27575%2c+L%c3%96VESTAD%2c+Sweden"
13, "Veteranmotor", "103026", "0414-504 71", "Gärsnäs", "http://www.veteranmotor.se", "/G%C3%A4rsn%C3%A4s/Veteranmotor/103026", "mailto:veteran@veteranmotor.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Virrestad+616%2c+27296%2c+G%c3%84RSN%c3%84S%2c+Sweden"
14, "Veteranpoolen", "769881", "0300-717 44", "Kungsbacka", "http://www.veteranpoolen.se", "/Kungsbacka/Veteranpoolen/769881", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hantverksgatan+30%2c+43442%2c+KUNGSBACKA%2c+Sweden"
15, "Veteranpoolen", "992180", "031-13 49 19", "Göteborg", "", "/G%C3%B6teborg/Veteranpoolen/992180", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Knipplagatan+6%2c+41474%2c+G%c3%96TEBORG%2c+Sweden"
16, "Veteranpoolen", "1936636", "031-21 77 30", "Brastad", "", "/Brastad/Veteranpoolen/1936636", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=L%c3%a4nnestad+104%2c+45494%2c+BRASTAD%2c+Sweden"
17, "Veteranpoolen", "2102858", "0303-587 20", "Kungälv", "http://www.veteranpoolen.se", "/Kung%C3%A4lv/Veteranpoolen/2102858", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Bultgatan+38%2c+44240%2c+KUNG%c3%84LV%2c+Sweden"
18, "Veteranpoolen", "2628572", "", "Handen", "http://www.veteranpoolen.se", "/Handen/Veteranpoolen/2628572", "mailto:stockholm.oster@veteranpoolen.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Haninge+Centrum%2c+13646%2c+HANDEN%2c+Sweden"
19, "Veteranpoolen AB", "2891053", "0300-707 24", "Kungsbacka", "", "/Kungsbacka/Veteranpoolen_AB/2891053", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hantverksgatan+30%2c+43442%2c+KUNGSBACKA%2c+Sweden"
20, "Veteranpoolen Borås", "1937951", "033-13 97 00", "Borås", "", "/Bor%C3%A5s/Veteranpoolen_Bor%C3%A5s/1937951", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Magasinsgatan+10%2c+50435%2c+BOR%c3%85S%2c+Sweden"
