0,"Q - Fact HB","225063","0431-36 49 75","Torekov","","/Torekov/Q___Fact_HB/225063","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kaptensgatan+12+C%2c+26977%2c+TOREKOV%2c+Sweden"
1,"Q - Kommunikation & Utbildning","240352","042-13 64 66","Helsingborg","http://www.q-communication.com","/Helsingborg/Q___Kommunikation__Utbildning/240352","mailto:q-annette.nilsson@telia.com","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Karl+X+Gustavs+gata+15%2c+25438%2c+HELSINGBORG%2c+Sweden"
2,"Q & A Analyse AB","730644","018-50 27 10","Uppsala","http://www.qa-analyse.se","/Uppsala/Q__A_Analyse_AB/730644","mailto:kontakt@qa-analyse.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Lefflersgatan+5%2c+75450%2c+UPPSALA%2c+Sweden"
3,"Q & Co Städ i Malmö AB","1855686","040-24 05 33","Malmö","","/Malm%C3%B6/Q__Co_St%C3%A4d_i_Malm%C3%B6_AB/1855686","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Dj%c3%a4knegatan+5%2c+21135%2c+MALM%c3%96%2c+Sweden"
4,"Q & Co Städ Östbo-Västbo AB","2615914","0370-69 08 00","Värnamo","","/V%C3%A4rnamo/Q__Co_St%C3%A4d_%C3%96stbo_V%C3%A4stbo_AB/2615914","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Ringv%c3%a4gen+61%2c+33132%2c+V%c3%84RNAMO%2c+Sweden"
5,"Q & E Fastigheter AB","2945820","","Södertälje","","/S%C3%B6dert%C3%A4lje/Q__E_Fastigheter_AB/2945820","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Wedav%c3%a4gen+22%2c+15242%2c+S%c3%96DERT%c3%84LJE%2c+Sweden"
6,"Q & P i Göteborg AB","2761569","031-762 61 50","Göteborg","","/G%C3%B6teborg/Q__P_i_G%C3%B6teborg_AB/2761569","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Drottninggatan+29%2c+41114%2c+G%c3%96TEBORG%2c+Sweden"
7,"Q & Q Consulting KB","2260743","","Malmö","","/Malm%C3%B6/Q__Q_Consulting_KB/2260743","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Bennets+v%c3%a4g+5+C%2c+21367%2c+MALM%c3%96%2c+Sweden"
8,"Q & Q Labs AB","2630195","","Göteborg","http://www.qandqlabs.se","/G%C3%B6teborg/Q__Q_Labs_AB/2630195","mailto:info@qandqlabs.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Frans+Perssons+V%c3%a4g+6%2c+41276%2c+G%c3%96TEBORG%2c+Sweden"
9,"Q 56 Affärsutveckling AB","946534","023-260 90","Grycksbo","","/Grycksbo/Q_56_Aff%C3%A4rsutveckling_AB/946534","mailto:q56@q56.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Harmsarvsv%c3%a4gen+3+A%2c+79020%2c+GRYCKSBO%2c+Sweden"
10,"Q Advance Compiliance & Validation AB","426679","018-71 43 00","Uppsala","http://www.qadvance.se","/Uppsala/Q_Advance_Compiliance__Validation_AB/426679","mailto:virve.reiman@qadvance.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Valhallagatan+13%2c+75334%2c+UPPSALA%2c+Sweden"
11,"Q Advance Invest AB","1813142","018-25 76 10","Uppsala","http://www.qadvance.se","/Uppsala/Q_Advance_Invest_AB/1813142","mailto:virve.reiman@qadvance.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Valhallagatan+13%2c+75334%2c+UPPSALA%2c+Sweden"
12,"Q Adventure Of Sweden Ekonomisk Förening","2924989","","Hammarö","","/Hammar%C3%B6/Q_Adventure_Of_Sweden_Ekonomisk_F%C3%B6rening/2924989","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Maltv%c3%a4gen+3%2c+66341%2c+HAMMAR%c3%96%2c+Sweden"
13,"Q Allservice","610221","08-648 85 37","Sköndal","","/Sk%C3%B6ndal/Q_Allservice/610221","mailto:felanmalan@live.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Gr%c3%a5hundsv%c3%a4gen+36%2c+12862%2c+SK%c3%96NDAL%2c+Sweden"
14,"Q Art AB","1007975","035-597 50","Harplinge","","/Harplinge/Q_Art_AB/1007975","mailto:qart@brevet.nu","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Lynga+Skola+624+A%2c+30561%2c+HARPLINGE%2c+Sweden"
15,"Q Base AB","3028486","","Lidingö","","/Liding%C3%B6/Q_Base_AB/3028486","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Tallstigen+2%2c+18162%2c+LIDING%c3%96%2c+Sweden"
16,"Q Books","537211","08-642 13 91","Stockholm","","/Stockholm/Q_Books/537211","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=%c3%85s%c3%b6gatan+129%2c+11624%2c+STOCKHOLM%2c+Sweden"
