0,"Wittgren, Madeleine","745028","0550-135 41","Kristinehamn","","/Kristinehamn/Wittgren_Madeleine/745028","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Dye+Dy%c3%a5sen+2%2c+68191%2c+KRISTINEHAMN%2c+Sweden"
1,"Wittgren, Tony","745027","0550-135 41","Kristinehamn","","/Kristinehamn/Wittgren_Tony/745027","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Dye+Dy%c3%a5sen+2%2c+68191%2c+KRISTINEHAMN%2c+Sweden"
2,"Wittgrens Maskin Konsult","391398","0430-288 70","Mellbystrand","","/Mellbystrand/Wittgrens_Maskin_Konsult/391398","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=%c3%85bov%c3%a4gen+10%2c+31260%2c+MELLBYSTRAND%2c+Sweden"
3,"Wittgrens Service AB, Tempo","739834","","Karlskoga","","/Karlskoga/Wittgrens_Service_AB_Tempo/739834","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Gottebol+Vinklyckan+408%2c+69193%2c+KARLSKOGA%2c+Sweden"
4,"Witthöft Österstam, Louise","1969797","0320-621 36","Hajom","","/Hajom/Witth%C3%B6ft_%C3%96sterstam_Louise/1969797","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=S%c3%b6derbacka+K%c3%a4lleberg%2c+51197%2c+HAJOM%2c+Sweden"
5,"Wittig, Birgitta","1628065","0582-701 91","Vretstorp","","/Vretstorp/Wittig_Birgitta/1628065","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Skolgatan+19%2c+69450%2c+VRETSTORP%2c+Sweden"
6,"Wittikko, Eeva-Liisa","2225951","","Haparanda","","/Haparanda/Wittikko_Eeva_Liisa/2225951","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=V%c3%a4stra+Esplanaden+48%2c+95331%2c+HAPARANDA%2c+Sweden"
7,"Witting Fastigheter i Ystad AB","2505290","0411-55 75 75","Ystad","http://www.witting.se","/Ystad/Witting_Fastigheter_i_Ystad_AB/2505290","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Eken%c3%a4sgatan+5%2c+27139%2c+YSTAD%2c+Sweden"
8,"Witting Materialhantering","467104","0411-55 75 75","Ystad","http://www.witting.se","/Ystad/Witting_Materialhantering/467104","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Eken%c3%a4sgatan+5%2c+27139%2c+YSTAD%2c+Sweden"
9,"Witting, Carl Håkan Algot","821179","","Sparreholm","","/Sparreholm/Witting_Carl_H%C3%A5kan_Algot/821179","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Ullaberg%2c+64034%2c+SPARREHOLM%2c+Sweden"
10,"Witting, Karl","2616148","046-13 31 31","Lund","","/Lund/Witting_Karl/2616148","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Svenska+V%c3%a4gen+61%2c+22639%2c+LUND%2c+Sweden"
11,"Wittinghoff, Kurt","639991","08-640 82 06","Stockholm","","/Stockholm/Wittinghoff_Kurt/639991","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Tulegatan+20%2c+11353%2c+STOCKHOLM%2c+Sweden"
12,"Wittings Skor AB","471768","0418-41 19 89","Landskrona","http://www.ecco.se","/Landskrona/Wittings_Skor_AB/471768","mailto:anne.nilsson@wittings.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=%c3%96stergatan+4%2c+26131%2c+LANDSKRONA%2c+Sweden"
13,"Wittkull Mål & Mening","314488","0250-227 18","Sollerön","","/Soller%C3%B6n/Wittkull_M%C3%A5l__Mening/314488","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Rothagev%c3%a4gen+71%2c+79290%2c+SOLLER%c3%96N%2c+Sweden"
14,"Wittlock & Co Advokatbyrå AB","608704","08-410 999 10","Stockholm","http://www.10zing.com","/Stockholm/Wittlock__Co_Advokatbyr%C3%A5_AB/608704","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Nybrokajen+7%2c+11148%2c+STOCKHOLM%2c+Sweden"
15,"Wittlock Consulting","401060","","Tullinge","","/Tullinge/Wittlock_Consulting/401060","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Bansl%c3%a4ttsv%c3%a4gen+7+B%2c+14637%2c+TULLINGE%2c+Sweden"
16,"Wittlock Management AB","511122","","Tyresö","","/Tyres%C3%B6/Wittlock_Management_AB/511122","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=%c3%84llmorav%c3%a4gen+36%2c+13569%2c+TYRES%c3%96%2c+Sweden"
17,"Wittlocks Byggvarutransport AB","1259598","08-551 511 60","Tystberga","","/Tystberga/Wittlocks_Byggvarutransport_AB/1259598","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Stora+L%c3%a5ngbro+1%2c+61199%2c+TYSTBERGA%2c+Sweden"
18,"Wittlocks Sportfiske o. Fritidsartiklar","157116","035-21 21 12","Halmstad","http://www.wittlock.se","/Halmstad/Wittlocks_Sportfiske_o_Fritidsartiklar/157116","mailto:order@wittlock.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Bohusgatan+3%2c+30238%2c+HALMSTAD%2c+Sweden"
19,"Wittmark & Wilson Holding AB","770286","08-711 72 07","Huddinge","","/Huddinge/Wittmark__Wilson_Holding_AB/770286","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Flemingsbergs+G%c3%a5rd%2c+14159%2c+HUDDINGE%2c+Sweden"
20,"Wittmark, Madeline Freja","206530","08-711 72 10","Hägersten","","/H%C3%A4gersten/Wittmark_Madeline_Freja/206530","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Erik+Segers%c3%a4lls+v%c3%a4g+17%2c+12650%2c+H%c3%84GERSTEN%2c+Sweden"
21,"Wittsell, Sven","622239","042-13 24 29","Helsingborg","","/Helsingborg/Wittsell_Sven/622239","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Johan+H%c3%a5rds+Gata+90+B%2c+25454%2c+HELSINGBORG%2c+Sweden"
