0, "Ö & A Fastigheter i Strömstad AB", "2305332", "0526-141 07", "Strömstad", "", "/Str%C3%B6mstad/%C3%96__A_Fastigheter_i_Str%C3%B6mstad_AB/2305332", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=S%c3%b6dra+Hamngatan+25%2c+45230%2c+STR%c3%96MSTAD%2c+Sweden"
1, "Ö & B Överskottsbolaget", "778902", "0490-823 90", "Västervik", "http://www.overskottsbolaget.se", "/V%C3%A4stervik/%C3%96__B_%C3%96verskottsbolaget/778902", "mailto:anna.lejonqvist@oochb.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Dichmansgatan+9%2c+59332%2c+V%c3%84STERVIK%2c+Sweden"
2, "Ö & Ö HB", "487633", "042-518 60", "Åstorp", "", "/%C3%85storp/%C3%96__%C3%96_HB/487633", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Granv%c3%a4gen+11%2c+26532%2c+%c3%85STORP%2c+Sweden"
3, "Ö & P Yrkesbutiken AB", "2794061", "0224-67 72 01", "Sala", "http://www.yrkesbutiken.eu", "/Sala/%C3%96__P_Yrkesbutiken_AB/2794061", "mailto:info@yrkesbutiken.eu", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Fridhemsgatan+9+A%2c+73339%2c+SALA%2c+Sweden"
4, "Ö & S Maskin Jord O Skog", "894606", "0660-22 20 78", "Bjästa", "", "/Bj%C3%A4sta/%C3%96__S_Maskin_Jord_O_Skog/894606", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Bergom+270%2c+89392%2c+BJ%c3%84STA%2c+Sweden"
5, "Ö & S Mat AB", "769274", "0480-212 37", "Rockneby", "", "/Rockneby/%C3%96__S_Mat_AB/769274", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=%c3%84spelundsv%c3%a4gen+23%2c+39594%2c+ROCKNEBY%2c+Sweden"
6, "Ö A Agenturer", "104810", "0650-56 32 27", "Hudiksvall", "", "/Hudiksvall/%C3%96_A_Agenturer/104810", "mailto:orjan.andersson47@hotmail.com", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Holmenv%c3%a4gen+2%2c+82493%2c+HUDIKSVALL%2c+Sweden"
7, "Ö Alenius Rör", "234204", "0640-412 41", "Mattmar", "", "/Mattmar/%C3%96_Alenius_R%C3%B6r/234204", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Nyg%c3%a5rd+2011%2c+83002%2c+MATTMAR%2c+Sweden"
8, "Ö B A Bygg o. Anläggnings AB", "884779", "0586-589 15", "Karlskoga", "http://www2.karlskoga.se/oba/index.htm", "/Karlskoga/%C3%96_B_A_Bygg_o_Anl%C3%A4ggnings_AB/884779", "mailto:oba@bahnhof.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Myrtorpsv%c3%a4gen+25%2c+69137%2c+KARLSKOGA%2c+Sweden"
9, "Ö B i Bevakningsinsats", "161906", "", "Haninge", "", "/Haninge/%C3%96_B_i_Bevakningsinsats/161906", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Box+165%2c+13623%2c+HANINGE%2c+Sweden"
